Date,Open,Close,High,Low,Volume
2020-03-27,21.68,21.60,22.20,21.10,91522847
2020-03-26,21.31,22.72,22.95,21.17,116271076
2020-03-25,21.71,21.10,22.10,20.41,146991290
2020-03-24,19.42,21.03,21.15,19.01,147882436
2020-03-23,19.26,18.08,19.67,17.95,181898463
2020-03-20,21.76,19.67,21.84,19.56,150910446
2020-03-19,20.26,21.20,21.75,19.00,122461306
2020-03-18,20.27,20.79,20.97,19.70,148272500
2020-03-17,21.06,21.98,22.69,20.03,120065734
2020-03-16,19.85,20.44,21.73,19.58,121688755
2020-03-13,22.19,24.16,24.25,21.48,128357432
2020-03-12,20.59,20.51,22.87,20.15,139552562
2020-03-11,22.84,22.67,23.96,22.26,127543845
2020-03-10,23.25,23.61,23.68,21.59,134863577
2020-03-09,22.23,21.93,23.49,21.51,145195959
2020-03-06,25.47,25.71,26.21,25.10,119121241
2020-03-05,27.24,26.78,27.35,26.40,110878735
2020-03-04,28.25,28.39,28.42,27.40,111239782
2020-03-03,29.37,27.75,29.75,27.62,138698489
2020-03-02,28.35,29.37,29.38,27.44,147776301
2020-02-28,28.00,28.50,28.75,27.70,171263573
2020-02-27,29.55,29.13,30.30,28.91,121148292
2020-02-26,31.39,30.63,31.60,30.56,80065690
2020-02-25,32.69,31.08,32.76,30.84,91586817
2020-02-24,33.18,32.73,33.21,32.52,79159578
2020-02-21,34.53,34.36,34.64,34.14,46675464
2020-02-20,34.46,34.85,35.08,34.46,42604077
2020-02-19,34.45,34.72,34.85,34.41,29632112
2020-02-18,34.77,34.27,34.83,34.01,40327241
2020-02-14,34.88,34.85,34.96,34.70,26447711
2020-02-13,34.76,34.91,35.03,34.55,31775115
2020-02-12,35.08,34.92,35.45,34.78,36656686
2020-02-11,34.85,34.77,35.04,34.76,32476329
2020-02-10,34.44,34.69,34.69,34.38,24373790
2020-02-07,34.32,34.61,34.66,34.24,31263034
2020-02-06,34.94,34.67,35.01,34.60,39511495
2020-02-05,34.10,34.71,34.81,34.07,54604757
2020-02-04,33.56,33.62,33.90,33.53,45061583
2020-02-03,33.00,32.97,33.40,32.92,48508200
2020-01-31,33.07,32.83,33.17,32.65,54845277
2020-01-30,32.70,33.48,33.52,32.67,50542763
2020-01-29,33.33,33.01,33.44,32.98,37428275
2020-01-28,33.02,33.24,33.49,32.95,38834588
2020-01-27,32.57,32.85,33.13,32.47,57096174
2020-01-24,34.12,33.54,34.14,33.27,47797206
2020-01-23,34.09,34.12,34.26,33.73,45717148
2020-01-22,34.37,34.36,34.45,34.23,38879693
2020-01-21,34.42,34.26,34.52,34.22,50811010
2020-01-17,34.92,34.71,34.95,34.60,54156070
2020-01-16,34.90,34.72,34.99,34.60,50368507
2020-01-15,34.77,34.67,34.79,34.34,74745459
2020-01-14,35.30,35.32,35.67,35.11,66786220
2020-01-13,34.84,35.06,35.07,34.66,38015943
2020-01-10,35.00,34.74,35.07,34.66,39740673
2020-01-09,35.30,35.03,35.33,34.94,39882756
2020-01-08,34.57,34.97,35.19,34.55,45336656
2020-01-07,34.70,34.62,34.92,34.53,34348581
2020-01-06,34.41,34.85,34.90,34.37,42233299
2020-01-03,34.98,34.90,35.15,34.76,50763659
2020-01-02,35.35,35.64,35.66,35.29,37643855
2019-12-31,35.03,35.22,35.26,34.97,29635696
2019-12-30,35.57,35.15,35.65,35.09,30718166
2019-12-27,35.70,35.35,35.72,35.26,28121039
2019-12-26,35.32,35.52,35.56,35.29,27007296
2019-12-24,35.19,35.22,35.28,35.12,13805366
2019-12-23,35.04,35.17,35.19,34.95,34016757
2019-12-20,35.24,34.96,35.24,34.91,109405592
2019-12-19,35.15,34.95,35.23,34.89,45415054
2019-12-18,35.11,35.11,35.27,35.05,48785478
2019-12-17,34.85,35.04,35.27,34.74,50843457
2019-12-16,34.95,34.70,35.09,34.70,50801114
2019-12-13,34.69,34.44,34.96,34.35,48548741
2019-12-12,33.78,34.68,34.81,33.68,64995465
2019-12-11,33.48,33.64,33.76,33.48,43125177
2019-12-10,33.40,33.53,33.63,33.30,41985786
2019-12-09,33.50,33.51,33.70,33.44,32999442
2019-12-06,33.68,33.67,33.80,33.57,50926187
2019-12-05,33.16,33.09,33.22,33.00,38309479
2019-12-04,33.08,33.15,33.30,32.85,46669014
2019-12-03,32.87,32.84,32.90,32.55,58987928
2019-12-02,33.45,33.43,33.75,33.34,47199596
2019-11-29,33.37,33.32,33.52,33.24,19503395
2019-11-27,33.49,33.42,33.60,33.31,32107345
2019-11-26,33.38,33.35,33.40,33.12,50660771
