Date,Open,Close,High,Low,Volume
2020-03-27,54.62,55.30,57.08,52.69,4392250
2020-03-26,55.57,57.87,61.40,54.46,6026677
2020-03-25,52.61,52.34,55.00,50.05,5469144
2020-03-24,46.46,50.91,51.34,46.01,5553281
2020-03-23,43.39,42.87,44.94,42.03,6720901
2020-03-20,48.00,45.01,48.30,43.59,8038271
2020-03-19,43.08,46.26,47.83,39.78,9057920
2020-03-18,49.69,44.30,50.34,38.00,12148679
2020-03-17,56.44,53.92,57.15,51.31,10475224
2020-03-16,61.01,55.45,64.15,55.44,6562322
2020-03-13,69.00,72.84,72.99,66.29,5763903
2020-03-12,65.96,63.63,68.32,61.08,7039824
2020-03-11,75.96,71.42,76.37,70.59,5370946
2020-03-10,76.52,78.35,78.35,73.62,6218225
2020-03-09,75.17,73.07,77.14,71.06,4879502
2020-03-06,81.67,82.29,83.39,80.56,4155224
2020-03-05,86.01,85.08,87.05,83.90,3484997
2020-03-04,87.96,89.33,89.48,85.76,2888092
2020-03-03,90.90,86.42,92.55,85.31,4685818
2020-03-02,88.56,91.47,91.52,86.93,4111779
2020-02-28,85.84,88.26,88.30,84.62,6114270
2020-02-27,90.03,89.17,93.11,88.59,4273518
2020-02-26,94.27,92.82,95.25,92.78,2762349
2020-02-25,98.52,92.78,98.54,92.18,4499708
2020-02-24,97.57,98.24,99.09,97.00,2522818
2020-02-21,102.51,101.15,102.81,100.72,2764513
2020-02-20,101.25,103.54,104.61,101.25,2262928
2020-02-19,103.39,104.14,104.36,102.84,2059616
2020-02-18,102.13,103.03,103.28,101.81,2009906
2020-02-14,102.87,102.64,103.23,102.22,1271687
2020-02-13,102.65,102.78,102.99,102.03,2019537
2020-02-12,103.23,102.80,103.62,102.48,1767925
2020-02-11,102.60,102.40,103.74,102.31,2132055
2020-02-10,101.29,101.95,101.95,100.90,1433987
2020-02-07,102.38,101.80,102.87,101.53,1640613
2020-02-06,105.53,103.52,106.00,103.42,1807705
2020-02-05,103.10,104.74,104.84,103.10,2396416
2020-02-04,101.58,101.70,102.55,101.38,1556868
2020-02-03,100.57,99.75,101.70,99.46,2113505
2020-01-31,101.28,99.80,101.69,99.21,2637314
2020-01-30,100.16,102.17,102.29,99.61,2176690
2020-01-29,102.36,101.20,102.83,101.13,1883903
2020-01-28,102.09,102.04,103.33,101.34,1990474
2020-01-27,101.43,101.16,102.11,100.59,2447794
2020-01-24,105.38,104.30,105.96,103.39,2528082
2020-01-23,106.42,106.03,106.55,105.20,2110757
2020-01-22,105.00,106.76,107.59,104.55,5725708
2020-01-21,103.30,102.19,103.74,102.19,3077431
2020-01-17,103.10,104.13,104.47,103.01,2680051
2020-01-16,102.99,102.92,103.48,102.32,4126513
2020-01-15,101.78,102.34,102.82,101.45,1745405
2020-01-14,101.90,102.56,103.57,101.86,2154363
2020-01-13,101.69,101.91,102.05,101.30,1159926
2020-01-10,102.45,101.55,102.62,101.16,1167898
2020-01-09,101.99,102.51,102.78,101.42,1825537
2020-01-08,100.51,101.14,101.55,100.27,2194646
2020-01-07,100.20,100.08,100.70,99.83,1979263
2020-01-06,100.88,101.08,101.13,100.06,1526273
2020-01-03,101.98,102.00,102.52,101.32,1450089
2020-01-02,103.41,103.61,103.62,102.30,1603049
2019-12-31,102.46,102.91,103.06,102.38,1472807
2019-12-30,103.39,102.64,103.45,102.49,961108
2019-12-27,103.63,103.00,103.74,102.79,840275
2019-12-26,103.16,103.48,103.51,102.88,1124337
2019-12-24,103.06,102.95,103.25,102.53,326223
2019-12-23,103.37,102.93,103.37,102.47,1333794
2019-12-20,104.09,103.37,104.49,103.19,3069986
2019-12-19,104.08,103.38,104.34,103.13,2134539
2019-12-18,104.60,104.18,104.60,103.84,2300843
2019-12-17,103.90,104.34,104.63,103.55,1655813
2019-12-16,105.00,103.33,105.70,103.33,2756915
2019-12-13,103.91,104.37,104.95,102.96,1858514
2019-12-12,101.35,104.03,104.54,101.31,2237512
2019-12-11,102.50,101.43,102.90,101.28,1990766
2019-12-10,102.02,102.42,102.57,101.80,3155086
2019-12-09,101.39,102.21,102.56,101.25,2079142
2019-12-06,100.85,101.38,101.84,100.65,1996413
2019-12-05,99.50,99.57,100.25,99.14,1795798
2019-12-04,98.11,99.25,99.49,98.02,2046828
2019-12-03,98.10,98.17,98.35,96.63,3055418
2019-12-02,100.33,99.23,100.64,99.10,1750157
2019-11-29,99.83,100.01,100.35,99.52,1115471
2019-11-27,99.13,100.25,100.29,99.13,1402806
2019-11-26,99.54,99.22,99.81,98.36,2553733
2019-11-25,98.28,99.86,99.99,98.24,2201010
2019-11-22,97.25,98.10,98.33,96.92,2515214
