Date,Open,Close,High,Low,Volume
2020-03-27,215.34,220.19,226.55,215.34,1305769
2020-03-26,209.66,224.33,227.47,209.12,1650659
2020-03-25,193.50,207.13,217.91,192.13,1686810
2020-03-24,175.26,195.75,196.61,172.02,1404740
2020-03-23,171.55,165.09,182.04,164.19,1699865
2020-03-20,180.34,175.80,183.00,171.47,2017311
2020-03-19,173.56,177.91,181.48,166.00,2610481
2020-03-18,182.92,174.35,187.35,165.23,2819040
2020-03-17,188.90,202.09,206.43,185.49,2046630
2020-03-16,182.00,185.40,193.94,180.00,2856263
2020-03-13,205.04,213.07,213.57,194.54,2329324
2020-03-12,200.34,193.34,212.13,189.00,2632096
2020-03-11,220.91,211.26,221.66,206.68,1612436
2020-03-10,220.80,227.60,227.60,213.90,2208074
2020-03-09,218.15,210.85,223.74,209.40,2551368
2020-03-06,242.62,238.47,244.49,231.39,2197355
2020-03-05,260.26,252.61,264.72,248.78,1557428
2020-03-04,257.16,269.58,270.35,255.67,1221385
2020-03-03,258.23,252.87,263.29,249.49,1734920
2020-03-02,245.91,259.52,259.78,242.62,1526290
2020-02-28,236.66,240.03,241.66,232.06,1989221
2020-02-27,256.84,244.07,256.84,243.90,1993920
2020-02-26,260.52,261.01,267.46,260.46,951250
2020-02-25,268.00,260.03,269.45,258.71,1090669
2020-02-24,264.30,266.26,268.65,263.60,990013
2020-02-21,276.83,271.83,276.83,269.11,961462
2020-02-20,284.64,278.87,285.61,275.22,1000974
2020-02-19,282.12,285.31,287.25,281.96,986317
2020-02-18,277.72,280.68,280.80,273.92,771116
2020-02-14,273.38,277.83,278.00,273.00,931939
2020-02-13,273.13,272.77,274.41,268.04,910874
2020-02-12,272.00,273.41,276.99,262.46,981342
2020-02-11,269.79,270.99,272.94,268.72,946400
2020-02-10,266.95,268.43,268.73,266.31,729303
2020-02-07,268.01,267.50,269.19,265.85,647778
2020-02-06,266.42,268.01,269.93,266.21,806872
2020-02-05,269.25,264.34,269.30,261.84,715163
2020-02-04,265.60,266.86,269.27,264.72,742078
2020-02-03,258.22,261.01,261.52,258.22,748163
2020-01-31,261.68,256.79,263.81,256.13,827791
2020-01-30,259.88,263.81,263.89,258.77,563457
2020-01-29,260.50,260.67,262.96,259.62,441779
2020-01-28,256.31,260.19,260.49,255.61,781087
2020-01-27,253.32,255.12,256.19,252.00,707382
2020-01-24,257.94,255.62,258.89,254.38,495581
2020-01-23,256.45,257.09,258.51,255.35,809961
2020-01-22,258.10,257.47,258.49,256.48,596603
2020-01-21,256.84,256.34,258.11,255.77,911043
2020-01-17,257.62,257.63,258.27,255.77,830401
2020-01-16,254.95,256.05,256.22,254.17,603192
2020-01-15,249.31,253.03,254.65,248.85,856661
2020-01-14,251.29,249.43,252.11,249.23,551792
2020-01-13,248.17,251.49,251.52,248.17,706964
2020-01-10,250.00,248.03,250.77,247.04,594320
2020-01-09,246.57,248.85,249.43,246.42,811071
2020-01-08,242.05,245.62,247.24,242.05,887236
2020-01-07,242.58,241.00,245.21,240.81,743708
2020-01-06,239.67,241.87,241.95,239.24,714929
2020-01-03,238.82,241.12,241.61,238.56,475810
2020-01-02,238.68,241.72,241.73,238.01,869729
2019-12-31,236.85,237.41,238.70,236.37,594097
2019-12-30,239.02,237.66,239.34,236.07,339991
2019-12-27,239.81,239.30,240.31,238.19,551140
2019-12-26,238.76,239.06,239.86,238.16,266321
2019-12-24,237.35,238.18,238.50,236.09,159216
2019-12-23,239.19,237.06,240.22,236.57,947152
2019-12-20,238.99,238.14,239.67,237.61,1187164
2019-12-19,235.58,238.20,240.06,235.58,900533
2019-12-18,236.67,236.48,236.89,235.52,973526
2019-12-17,236.83,235.36,236.83,234.12,752628
2019-12-16,237.21,236.10,239.52,235.82,662755
2019-12-13,233.53,235.08,236.86,231.84,518650
2019-12-12,234.00,234.33,236.29,232.75,1179154
2019-12-11,231.75,233.25,233.60,231.13,791581
2019-12-10,230.48,231.05,231.64,229.53,449803
2019-12-09,232.15,230.55,232.72,230.39,697849
2019-12-06,231.48,231.77,232.69,229.70,724657
2019-12-05,226.93,229.36,229.53,225.21,556028
2019-12-04,225.00,226.80,226.90,224.26,516660
2019-12-03,222.45,224.80,224.98,222.45,465238
2019-12-02,226.50,225.20,227.95,224.17,556538
2019-11-29,225.89,226.67,228.21,225.44,387595
2019-11-27,227.04,226.53,227.39,224.01,844692
2019-11-26,225.75,226.73,227.82,225.64,753667
2019-11-25,223.73,225.74,226.29,223.27,793367
2019-11-22,224.97,222.95,226.00,221.43,619246
2019-11-21,223.66,224.14,225.20,222.11,698459
2019-11-20,223.95,223.91,226.74,222.17,745096
2019-11-19,221.81,223.87,225.40,221.37,689592
2019-11-18,220.30,221.38,221.51,219.92,577771
2019-11-15,220.00,220.15,220.66,218.60,524553
2019-11-14,218.64,218.86,219.15,215.91,417482
2019-11-13,216.66,218.74,219.91,216.43,520248
2019-11-12,217.93,217.46,219.76,217.11,469127
2019-11-11,216.26,218.05,219.15,215.43,440013
2019-11-08,217.85,218.13,219.25,216.61,467000
2019-11-07,217.06,218.27,219.03,215.41,609138
2019-11-06,213.00,215.80,216.55,212.27,882229
2019-11-05,218.50,213.06,218.63,211.50,965008
2019-11-04,222.37,218.00,222.41,217.71,558755
2019-11-01,222.45,220.50,223.82,220.08,569117
2019-10-31,218.04,220.69,222.44,218.04,669654
2019-10-30,222.19,218.24,222.19,212.13,1124777
2019-10-29,217.37,220.40,221.42,217.05,1072387
2019-10-28,217.00,216.29,217.92,215.95,494620
2019-10-25,215.34,216.01,217.37,215.34,391746
2019-10-24,213.20,215.58,216.18,212.53,348835
2019-10-23,212.92,211.97,213.52,209.75,975493
2019-10-22,219.21,213.20,219.67,213.03,464192
2019-10-21,218.27,219.29,219.40,216.96,477074
2019-10-18,218.14,217.30,218.76,215.77,608902
2019-10-17,217.50,218.77,219.15,216.91,432124
2019-10-16,217.88,217.15,217.88,214.51,512070
2019-10-15,215.93,218.69,219.12,215.46,664580
2019-10-14,213.94,214.47,215.92,213.20,840331
2019-10-11,215.00,214.10,216.27,213.77,873016
2019-10-10,209.19,211.05,212.73,208.76,474503
2019-10-09,208.10,209.65,210.67,207.24,580862
2019-10-08,206.79,205.76,208.85,203.74,1087445
2019-10-07,204.83,208.21,210.12,204.83,1016689
2019-10-04,200.08,203.56,203.67,199.83,522320
2019-10-03,197.17,199.56,200.07,195.57,669687
2019-10-02,199.85,196.81,200.84,196.33,1340524
2019-10-01,205.48,201.49,205.89,201.38,1033524
2019-09-30,205.00,204.83,207.95,204.48,946912
2019-09-27,215.44,205.88,215.74,203.21,1727373
2019-09-26,213.83,213.18,214.43,211.71,702118
2019-09-25,210.87,213.73,214.28,210.33,737751
