Date,Open,Close,High,Low,Volume
2020-03-27,30.73,30.87,32.17,30.63,7336912
2020-03-26,30.14,32.53,32.74,29.58,11543744
2020-03-25,28.34,29.74,32.46,27.83,13540382
2020-03-24,24.99,27.61,27.93,24.53,12986025
2020-03-23,24.02,23.53,24.52,22.85,11715323
2020-03-20,27.45,24.38,27.45,24.16,16243577
2020-03-19,27.50,26.80,28.57,25.99,9083847
2020-03-18,25.96,28.18,28.27,25.58,12074697
2020-03-17,27.71,28.43,28.44,25.64,9725934
2020-03-16,26.87,26.80,28.81,26.00,8989731
2020-03-13,30.98,31.93,32.03,29.05,13500965
2020-03-12,30.12,28.30,30.99,28.12,13658740
2020-03-11,33.63,33.30,34.21,32.64,11010325
2020-03-10,34.51,35.02,35.03,32.52,12698592
2020-03-09,35.42,32.66,36.64,31.90,14632669
2020-03-06,38.78,39.18,40.28,38.33,10764713
2020-03-05,42.10,40.62,42.25,40.01,11269431
2020-03-04,43.40,43.83,43.98,42.42,7751069
2020-03-03,44.39,42.57,44.98,42.22,11119965
2020-03-02,42.93,44.56,44.58,42.71,13068678
2020-02-28,42.11,42.72,42.97,41.47,13640163
2020-02-27,45.78,43.89,45.95,43.80,13487486
2020-02-26,47.96,46.92,48.30,46.73,9898466
2020-02-25,49.45,47.58,49.51,47.28,10896814
2020-02-24,49.29,49.38,49.66,48.80,8697010
2020-02-21,51.98,51.23,52.06,50.96,5307986
2020-02-20,51.84,52.28,52.35,51.67,3686860
2020-02-19,52.01,51.79,52.16,51.71,5528685
2020-02-18,52.03,51.83,52.49,51.40,4554785
2020-02-14,52.44,52.28,52.47,51.87,3469702
2020-02-13,52.32,52.38,52.52,51.94,3762321
2020-02-12,52.71,52.47,53.28,52.45,4999155
2020-02-11,52.19,52.39,53.05,52.04,5972719
2020-02-10,51.40,51.88,51.92,51.40,4513811
2020-02-07,51.52,51.58,51.70,51.08,6698541
2020-02-06,51.83,51.87,52.09,51.25,6538219
2020-02-05,51.16,51.53,51.74,50.97,7647186
2020-02-04,50.53,50.20,50.77,50.18,4774691
2020-02-03,49.75,49.69,50.30,49.68,5276759
2020-01-31,50.63,49.71,50.66,49.49,9443175
2020-01-30,50.00,51.28,51.29,49.92,4584034
2020-01-29,50.78,50.49,51.02,50.46,3877467
2020-01-28,50.35,50.55,50.96,50.20,4091059
2020-01-27,50.09,50.09,50.41,49.92,6493994
2020-01-24,51.90,51.27,51.90,50.70,3943555
2020-01-23,51.67,51.80,51.96,51.01,4264479
2020-01-22,52.00,51.90,52.13,51.67,3530651
2020-01-21,52.19,51.76,52.34,51.69,4656468
2020-01-17,52.34,52.61,52.66,52.19,6101680
2020-01-16,52.23,52.20,52.41,51.91,5389454
2020-01-15,52.02,51.85,52.31,51.75,4542351
2020-01-14,52.40,52.19,52.57,52.02,6612162
2020-01-13,52.62,52.58,52.76,52.33,6924916
2020-01-10,52.40,52.47,52.60,52.15,5526944
2020-01-09,52.18,52.37,52.73,52.13,5793876
2020-01-08,51.47,51.83,52.57,51.44,9880467
2020-01-07,51.01,51.29,51.62,50.74,6578781
2020-01-06,50.63,50.95,51.03,50.32,3271654
2020-01-03,50.99,51.09,51.16,50.60,5162268
2020-01-02,51.28,51.62,51.69,51.06,4416788
2019-12-31,50.73,50.97,51.00,50.51,4721794
2019-12-30,51.14,50.70,51.14,50.65,3149960
2019-12-27,51.34,50.83,51.34,50.80,2578238
2019-12-26,51.06,51.24,51.40,51.01,2281338
2019-12-24,51.09,50.99,51.24,50.87,1913333
2019-12-23,51.49,50.99,51.60,50.68,4229292
2019-12-20,51.33,51.36,51.48,50.96,10779419
2019-12-19,51.14,50.80,51.15,50.63,6058448
2019-12-18,51.28,51.13,51.37,51.09,4309733
2019-12-17,50.48,51.17,51.21,50.34,6982643
2019-12-16,50.93,50.48,51.08,50.41,8987628
2019-12-13,50.68,50.38,50.96,49.98,5355481
2019-12-12,49.14,50.54,50.74,49.06,12137320
2019-12-11,49.38,49.09,49.55,48.90,5717598
2019-12-10,49.32,49.29,49.49,49.15,3942928
2019-12-09,49.23,49.57,49.68,49.21,3603443
2019-12-06,49.55,49.50,49.78,49.25,4009799
2019-12-05,48.93,48.93,49.09,48.61,3626587
2019-12-04,48.59,48.66,49.24,48.48,6124186
2019-12-03,48.80,48.35,48.86,47.99,6304115
2019-12-02,50.17,49.35,50.24,49.32,3524556
2019-11-29,49.74,49.91,49.99,49.62,1681176
2019-11-27,50.05,49.91,50.14,49.66,3919438
2019-11-26,49.81,49.77,49.93,49.44,4109991
2019-11-25,49.75,49.95,50.05,49.61,5059471
2019-11-22,49.06,49.60,49.67,48.93,5399583
2019-11-21,49.13,48.97,49.13,48.60,3585625
2019-11-20,48.94,48.94,49.01,48.34,4234827
2019-11-19,49.27,49.15,49.54,49.11,4000611
2019-11-18,49.07,49.12,49.19,48.77,3678961
2019-11-15,49.61,49.27,49.73,49.17,3298121
2019-11-14,49.15,49.30,49.47,48.96,3034809
2019-11-13,49.12,49.26,49.41,48.93,4065224
2019-11-12,49.31,49.58,49.87,49.18,4672456
2019-11-11,48.82,49.22,49.48,48.81,4322653
2019-11-08,49.10,49.32,49.34,48.49,6446189
2019-11-07,49.07,49.04,49.61,48.93,5999884
2019-11-06,48.36,48.60,48.72,48.04,5150310
2019-11-05,47.75,48.38,48.57,47.59,6157778
2019-11-04,47.21,47.59,47.71,47.18,6564319
2019-11-01,47.01,47.26,47.44,46.77,5733632
2019-10-31,45.99,46.79,46.95,45.33,7023124
2019-10-30,46.63,46.29,46.71,45.83,5272780
2019-10-29,46.62,46.68,47.05,46.44,3743105
2019-10-28,46.54,46.81,47.14,46.54,4108609
2019-10-25,46.02,46.32,46.51,46.02,2163230
2019-10-24,46.61,46.28,46.93,45.93,3248389
2019-10-23,46.44,46.55,46.61,46.23,3069625
2019-10-22,46.45,46.51,46.66,46.11,3450639
2019-10-21,46.55,46.54,46.76,46.40,4383626
2019-10-18,45.98,46.10,46.25,45.90,5058081
2019-10-17,46.32,45.90,46.46,45.73,4234878
2019-10-16,46.11,45.96,46.63,45.89,4348594
2019-10-15,45.97,46.19,46.59,45.83,3210171
2019-10-14,45.43,45.75,45.85,45.37,2142173
2019-10-11,45.92,45.84,46.61,45.73,5303740
2019-10-10,44.77,44.96,45.37,44.54,3936123
2019-10-09,44.19,44.37,44.61,44.07,4314348
2019-10-08,44.34,43.83,44.38,43.82,5651752
2019-10-07,45.41,44.95,45.41,44.94,3432666
2019-10-04,44.58,45.41,45.49,44.41,4322011
2019-10-03,44.23,44.56,44.60,43.67,6731753
2019-10-02,45.53,44.39,45.70,44.31,8144441
2019-10-01,47.57,46.03,47.66,46.02,4093815
2019-09-30,47.54,47.16,47.62,46.96,4618874
2019-09-27,47.58,47.36,47.67,47.12,4254981
2019-09-26,47.37,47.08,47.42,46.80,5320747
2019-09-25,47.33,47.37,47.71,47.21,4183021
2019-09-24,47.87,47.33,47.95,47.06,8474393
2019-09-23,46.92,47.73,47.92,46.91,7020355
2019-09-20,48.02,47.44,48.02,47.23,32039203
2019-09-19,47.77,47.86,48.42,47.62,4420734
2019-09-18,47.19,47.85,47.97,46.99,6546754
2019-09-17,47.07,47.43,47.49,46.92,6990380
2019-09-16,47.92,47.55,47.98,47.22,7593764
2019-09-13,48.40,48.37,48.87,48.06,7463897
2019-09-12,47.46,47.87,48.13,46.77,6016311
2019-09-11,47.50,47.97,47.99,46.71,6424431
2019-09-10,46.69,47.42,47.42,46.39,8077197
2019-09-09,46.64,46.40,46.64,45.69,9950409
2019-09-06,46.01,46.23,46.54,45.81,4137507
2019-09-05,45.29,45.95,46.30,45.25,6215457
2019-09-04,44.44,44.49,44.68,44.24,4998425
2019-09-03,43.86,43.93,44.00,43.37,5093142
2019-08-30,44.54,44.30,44.69,44.16,4224612
2019-08-29,44.31,44.13,44.41,44.09,4830303
2019-08-28,43.47,43.71,43.74,43.34,7347480
2019-08-27,45.12,43.86,45.24,43.78,7059433
2019-08-26,45.06,44.84,45.19,44.54,7061629
2019-08-23,45.75,44.59,46.21,44.30,8939274
2019-08-22,46.05,46.21,46.52,45.82,4840085
2019-08-21,45.84,45.76,45.95,45.58,4838163
2019-08-20,45.44,45.37,45.96,45.27,5538230
2019-08-19,46.23,45.77,46.38,45.58,6315730
2019-08-16,45.09,45.35,45.65,45.04,7151404
2019-08-15,45.00,44.73,45.29,44.49,7453695
2019-08-14,45.65,44.87,45.98,44.83,9638295
2019-08-13,45.98,46.93,47.24,45.53,6368484
2019-08-12,46.29,45.89,46.91,45.76,9874941
2019-08-09,47.02,46.91,47.25,46.56,5330570
2019-08-08,46.95,47.17,47.53,46.74,6431220
2019-08-07,45.86,46.33,46.54,45.13,6165210
2019-08-06,45.80,46.85,46.99,45.73,7893343
2019-08-05,46.05,45.57,46.42,45.07,8857486
2019-08-02,48.28,47.29,48.30,47.03,9084518
2019-08-01,49.85,48.33,51.16,47.91,10900150
2019-07-31,49.90,49.42,50.11,49.08,6597222
2019-07-30,49.83,50.01,50.01,49.43,2920505
2019-07-29,50.30,50.00,50.58,49.90,3815345
2019-07-26,50.16,50.69,50.78,49.78,3899856
2019-07-25,50.37,50.14,50.40,49.96,3578765
2019-07-24,49.96,50.37,50.44,49.86,2916889
2019-07-23,49.90,50.14,50.32,49.85,3336117
2019-07-22,49.66,49.76,49.85,49.28,3917414
2019-07-19,50.20,49.72,50.43,49.71,4382102
2019-07-18,50.04,50.00,50.22,49.85,4233082
2019-07-17,50.42,49.96,50.50,49.76,3922517
2019-07-16,50.45,50.50,50.67,50.07,3886083
2019-07-15,50.90,50.78,50.94,50.40,3285077
2019-07-12,50.52,50.92,50.93,50.42,3760004
2019-07-11,50.47,50.42,50.51,49.90,4058558
2019-07-10,50.55,50.32,50.78,50.16,3472839
2019-07-09,50.18,50.38,50.55,50.07,3395425
2019-07-08,50.42,50.54,50.71,50.24,2423474
2019-07-05,50.66,50.70,50.94,50.39,2282387
2019-07-03,50.12,50.47,50.75,50.02,2237104
2019-07-02,50.40,50.00,50.49,49.66,4091630
2019-07-01,50.04,50.49,50.59,49.97,5065711
2019-06-28,49.57,49.67,49.89,49.47,4575395
2019-06-27,48.97,49.15,49.37,48.86,3198702
2019-06-26,48.89,48.87,49.11,48.47,3559026
2019-06-25,49.01,48.73,49.03,48.46,4157369
2019-06-24,48.90,49.09,49.34,48.79,2930662
2019-06-21,49.37,48.91,49.54,48.88,5441093
2019-06-20,49.11,49.36,49.48,48.51,4062821
2019-06-19,49.04,48.75,49.49,48.52,4318331
2019-06-18,48.35,48.71,49.00,48.15,3607202
2019-06-17,48.87,48.34,48.95,48.16,3124974
2019-06-14,48.52,48.81,48.98,48.27,3258676
2019-06-13,48.44,48.51,48.72,48.25,3284862
2019-06-12,48.49,48.42,48.66,48.31,3323406
2019-06-11,48.87,48.55,49.04,48.47,4668998
2019-06-10,48.63,48.42,49.15,48.24,5134246
2019-06-07,47.67,48.33,48.65,47.67,4289279
2019-06-06,48.17,48.38,48.59,47.95,4397020
2019-06-05,48.07,48.02,48.24,47.40,4266532
2019-06-04,47.73,48.02,48.32,47.47,6107644
2019-06-03,46.02,47.06,47.17,45.70,5626521
2019-05-31,46.72,46.21,46.88,46.05,5355176
2019-05-30,47.54,47.35,47.89,47.15,3313305
2019-05-29,46.80,47.34,47.43,46.67,3861062
2019-05-28,47.71,47.18,47.95,47.15,5178673
2019-05-24,47.48,47.83,47.94,47.39,3469503
2019-05-23,47.49,47.25,47.55,46.72,5682596
2019-05-22,47.86,48.13,48.33,47.70,4789971
2019-05-21,47.89,48.13,50.40,47.77,6469723
2019-05-20,47.31,47.52,47.96,47.23,4224023
2019-05-17,47.06,47.33,47.82,47.04,4074532
2019-05-16,47.38,47.64,48.06,47.38,3852789
2019-05-15,47.23,47.17,47.35,46.67,5480311
2019-05-14,46.78,47.50,48.09,46.78,5858128
2019-05-13,47.00,46.73,47.19,46.33,6674255
2019-05-10,47.17,47.92,48.07,46.86,5940912
2019-05-09,46.67,47.48,47.53,46.40,5211193
2019-05-08,46.98,47.28,47.84,46.92,6257868
2019-05-07,47.03,47.29,47.73,46.99,6444119
2019-05-06,46.68,47.59,47.99,46.60,5457905
2019-05-03,47.78,48.00,48.29,47.34,6225233
2019-05-02,46.70,47.41,48.13,46.57,9433388
2019-05-01,46.03,45.71,46.50,45.56,5326314
2019-04-30,45.84,46.13,46.18,45.28,5010409
2019-04-29,45.30,45.72,45.90,45.18,4265548
2019-04-26,44.80,45.10,45.13,44.55,3087449
2019-04-25,44.75,44.71,45.12,44.41,4337101
2019-04-24,45.25,44.93,45.40,44.86,3491642
2019-04-23,45.05,45.43,45.62,45.01,4035915
2019-04-22,45.26,45.21,45.42,45.05,2460646
2019-04-18,45.67,45.32,45.88,45.26,6078046
2019-04-17,46.37,45.81,46.37,45.51,5176566
2019-04-16,45.49,46.19,46.34,45.39,5209177
2019-04-15,45.79,45.25,46.02,45.10,4355722
2019-04-12,45.97,45.86,46.53,45.63,5493386
2019-04-11,45.07,45.28,45.68,45.00,4251525
2019-04-10,44.25,44.83,44.88,43.95,3240444
2019-04-09,44.76,44.30,44.87,44.12,6128800
2019-04-08,44.90,45.01,45.14,44.81,3243025
2019-04-05,44.86,45.06,45.17,44.56,4505275
2019-04-04,44.35,44.74,44.92,44.12,4042887
2019-04-03,44.35,44.19,44.84,44.01,4013642
2019-04-02,44.11,43.93,44.44,43.84,5029553
2019-04-01,42.75,44.13,44.19,42.74,6164519
2019-03-29,42.93,42.57,43.00,42.42,5756425
2019-03-28,42.48,42.47,42.87,41.95,4130308
2019-03-27,42.36,42.50,42.77,42.06,5448271
2019-03-26,42.33,42.46,42.69,42.12,4456505
2019-03-25,41.88,41.87,42.30,41.42,5364711
2019-03-22,42.67,41.79,42.79,41.41,8601255
2019-03-21,43.10,43.22,43.56,42.68,6523797
2019-03-20,44.89,43.38,45.02,43.30,6151174
2019-03-19,45.92,45.04,46.22,44.94,4972621
2019-03-18,45.38,45.72,45.99,44.96,4307582
2019-03-15,44.76,45.31,45.45,44.59,11798937
2019-03-14,44.74,44.84,44.85,44.53,3414144
2019-03-13,44.63,44.70,44.96,44.49,3452514
2019-03-12,44.67,44.57,44.98,44.43,4231446
2019-03-11,44.44,44.57,44.84,44.26,4186627
2019-03-08,43.85,44.16,44.19,43.50,6448621
2019-03-07,44.53,44.32,44.79,43.85,5357689
2019-03-06,45.43,44.94,45.62,44.82,4215743
2019-03-05,45.78,45.55,45.83,44.88,6130167
2019-03-04,45.62,45.66,46.12,45.22,4948396
2019-03-01,45.64,45.55,46.06,45.30,5917912
2019-02-28,45.00,45.19,45.42,44.81,8992653
2019-02-27,44.62,45.00,45.12,44.51,10978814
2019-02-26,44.95,44.65,45.51,44.63,7127424
2019-02-25,45.14,45.26,45.66,45.09,6204859
2019-02-22,44.76,44.74,45.08,44.67,4876548
2019-02-21,45.00,44.76,45.28,44.55,6258320
2019-02-20,44.81,45.05,45.23,44.69,8517615
2019-02-19,44.46,44.74,45.08,44.40,6014353
2019-02-15,44.26,44.86,45.02,44.23,6034996
2019-02-14,43.56,43.80,44.25,43.48,6061879
2019-02-13,44.52,44.22,44.80,44.02,5678246
2019-02-12,43.69,44.31,44.68,43.64,7482441
2019-02-11,43.01,43.28,43.42,42.82,8454265
2019-02-08,43.21,42.71,43.69,42.04,9363345
2019-02-07,43.86,43.52,43.95,42.68,7179902
2019-02-06,44.83,45.20,45.55,44.78,6372761
2019-02-05,45.18,45.20,45.27,44.86,4053719
2019-02-04,45.04,45.16,45.31,44.84,5666708
2019-02-01,45.92,45.54,45.92,45.33,5550620
2019-01-31,44.76,45.67,45.77,44.75,6478430
2019-01-30,44.95,45.23,45.48,44.35,4604004
2019-01-29,44.89,44.86,45.21,44.76,3427554
2019-01-28,45.05,45.13,45.37,44.63,3752204
2019-01-25,45.52,45.47,45.98,45.29,4281841
2019-01-24,44.51,45.02,45.24,44.39,4332927
2019-01-23,45.09,44.48,45.19,43.80,6537520
2019-01-22,44.98,44.87,45.19,44.61,5713165
2019-01-18,45.43,45.31,45.46,45.05,6458862
2019-01-17,44.70,45.05,45.29,44.26,4797686
2019-01-16,44.64,44.87,45.29,44.29,5861008
2019-01-15,43.82,44.06,44.32,43.62,4189727
2019-01-14,43.30,43.97,44.17,43.15,3970088
2019-01-11,42.99,43.72,43.80,42.87,3563548
2019-01-10,43.37,43.37,43.77,42.93,6056565
2019-01-09,43.03,43.50,43.86,42.75,6868380
2019-01-08,42.96,42.77,43.30,42.26,4462230
2019-01-07,42.14,42.55,42.95,41.76,5590237
2019-01-04,41.70,42.28,42.55,41.64,5962448
2019-01-03,41.36,40.87,41.66,40.74,6627871
2019-01-02,40.61,41.67,41.78,40.25,5226857
2018-12-31,40.85,41.06,41.30,40.52,4665446
2018-12-28,41.09,40.62,41.23,40.35,6361634
2018-12-27,39.52,40.95,40.95,39.33,10421630
2018-12-26,38.33,40.19,40.24,37.76,8995077
2018-12-24,38.09,38.24,39.24,37.91,6612974
2018-12-21,39.07,38.63,40.07,38.53,12359588
2018-12-20,39.09,39.35,40.15,38.95,11172644
2018-12-19,39.71,39.24,40.95,38.92,11306871
2018-12-18,39.08,39.62,40.07,39.04,9614892
2018-12-17,38.76,38.88,39.81,38.62,10100296
2018-12-14,38.86,38.89,39.88,38.81,6918905
2018-12-13,39.66,39.52,39.82,39.13,7424233
2018-12-12,39.85,39.57,40.31,39.41,6148636
2018-12-11,40.23,39.23,40.71,39.04,7960438
2018-12-10,40.50,39.61,40.65,38.90,8352283
2018-12-07,41.08,40.63,41.92,40.23,8767855
2018-12-06,41.58,41.17,41.59,40.13,11420865
2018-12-04,44.54,42.42,44.62,42.10,9803566
2018-12-03,45.30,44.82,45.85,44.51,8031462
2018-11-30,44.37,44.63,44.81,44.25,6116123
2018-11-29,44.64,44.39,45.07,44.28,5673076
2018-11-28,43.97,45.09,45.09,43.72,6869715
2018-11-27,43.62,44.01,44.36,43.60,7301773
2018-11-26,43.46,43.79,44.22,43.41,6395892
2018-11-23,42.43,42.80,43.35,42.41,2702817
2018-11-21,43.27,42.99,43.94,42.75,6577766
2018-11-20,43.29,42.84,43.33,42.23,9636078
2018-11-19,43.94,43.67,44.17,43.36,7902199
2018-11-16,44.54,43.96,44.70,43.82,8171860
2018-11-15,44.55,44.80,44.92,44.02,8768504
2018-11-14,45.99,45.04,46.35,44.72,6885793
2018-11-13,45.16,45.46,46.17,45.07,6212589
2018-11-12,45.23,44.73,45.41,44.63,5472592
2018-11-09,45.28,45.19,45.62,44.80,6927648
2018-11-08,44.75,45.44,45.94,44.68,7667240
2018-11-07,44.96,45.18,45.42,44.32,6086839
2018-11-06,44.14,44.61,44.81,44.07,8116169
2018-11-05,43.25,44.59,44.79,43.19,7828303
2018-11-02,43.86,43.60,44.44,43.29,9442001
2018-11-01,41.54,41.94,42.00,41.08,7810693
2018-10-31,41.20,41.19,42.00,41.11,8069767
2018-10-30,40.28,40.73,40.80,39.67,10079771
2018-10-29,40.25,39.96,40.78,39.41,8774850
2018-10-26,40.35,39.56,40.39,39.31,10903668
2018-10-25,40.87,40.77,41.22,40.44,8685478
2018-10-24,42.40,40.24,42.40,40.10,10609983
2018-10-23,41.98,42.54,42.74,41.38,6759076
2018-10-22,43.86,42.90,44.00,42.83,5575951
2018-10-19,43.31,43.84,44.02,43.05,6030661
2018-10-18,44.51,43.62,44.77,43.25,4697342
2018-10-17,43.92,44.66,45.01,43.83,5797364
2018-10-16,43.95,43.85,44.05,43.43,6826113
