Date,Open,Close,High,Low,Volume
2020-03-27,33.64,34.01,34.73,33.12,33375420
2020-03-26,33.80,35.71,36.85,33.33,26425797
2020-03-25,33.90,33.99,35.48,32.25,27198494
2020-03-24,30.09,33.22,33.38,29.40,25905496
2020-03-23,29.15,27.81,29.79,27.76,26400955
2020-03-20,31.25,29.67,31.45,29.19,27472498
2020-03-19,30.35,30.92,32.90,28.74,23929644
2020-03-18,31.34,30.75,32.84,27.20,27603006
2020-03-17,32.37,33.79,35.12,30.11,27047360
2020-03-16,31.07,31.65,35.27,30.36,26789927
2020-03-13,34.27,37.50,37.52,33.07,33305139
2020-03-12,33.91,31.31,34.91,31.21,27964640
2020-03-11,38.23,36.87,38.86,36.44,27383553
2020-03-10,39.81,39.50,39.99,37.05,27110969
2020-03-09,36.85,37.50,39.02,36.85,28177463
2020-03-06,40.51,41.84,42.24,40.34,30898354
2020-03-05,43.51,42.59,43.94,42.14,23950190
2020-03-04,45.16,45.24,45.32,44.21,21938107
2020-03-03,46.37,44.40,46.92,43.86,30206617
2020-03-02,45.11,46.48,46.48,44.40,23234145
2020-02-28,43.87,45.03,45.55,43.69,36983543
2020-02-27,45.74,45.41,47.21,45.16,26815173
2020-02-26,48.22,47.24,48.55,46.89,22286787
2020-02-25,49.98,48.03,50.15,47.56,25568358
2020-02-24,50.31,49.68,50.49,49.21,28670358
2020-02-21,53.50,52.42,53.59,52.09,29541326
2020-02-20,54.00,53.75,55.51,53.59,58533497
2020-02-19,55.86,56.31,56.43,55.49,6075295
2020-02-18,55.80,55.52,55.96,54.94,6898811
2020-02-14,55.90,55.84,56.12,55.54,4579308
2020-02-13,55.80,55.93,55.99,55.50,5718394
2020-02-12,56.22,56.18,56.66,56.11,7130011
2020-02-11,55.74,55.78,56.25,55.69,7120808
2020-02-10,54.68,55.35,55.36,54.62,5115052
2020-02-07,54.61,55.03,55.11,54.42,7587971
2020-02-06,55.43,55.01,55.49,54.61,6976882
2020-02-05,54.86,54.99,55.15,54.38,8237518
2020-02-04,53.75,54.02,54.60,53.73,9375133
2020-02-03,52.64,52.60,53.59,52.58,8375623
2020-01-31,53.20,52.26,53.28,51.89,11286887
2020-01-30,52.61,53.82,53.86,52.40,8685860
2020-01-29,54.48,53.68,54.55,53.68,9027852
2020-01-28,53.80,54.02,54.44,53.38,9232924
2020-01-27,53.00,53.11,53.69,52.86,10649107
2020-01-24,55.53,54.55,55.61,54.10,9752123
2020-01-23,55.22,55.53,55.65,54.80,10064905
2020-01-22,56.18,55.86,56.51,55.85,10276830
2020-01-21,55.88,55.92,56.48,55.18,20833888
2020-01-17,56.26,57.51,57.57,56.18,15403886
2020-01-16,56.05,56.44,57.36,55.65,34590664
2020-01-15,52.48,52.94,52.94,52.11,11342486
2020-01-14,53.06,52.86,53.25,52.68,9605014
2020-01-13,52.21,52.78,52.78,52.07,8335362
2020-01-10,52.15,52.21,52.47,51.92,7690485
2020-01-09,52.17,52.06,52.25,51.82,7310275
2020-01-08,50.96,51.57,51.79,50.90,6185249
2020-01-07,51.04,50.92,51.19,50.71,4572114
2020-01-06,50.67,51.02,51.04,50.46,7478540
2020-01-03,51.22,51.20,51.45,50.83,6706712
2020-01-02,51.20,52.04,52.06,51.17,7440294
2019-12-31,50.96,51.12,51.13,50.74,5132637
2019-12-30,51.36,50.96,51.38,50.92,4532760
2019-12-27,51.33,51.09,51.33,50.93,4117109
2019-12-26,50.97,51.11,51.29,50.86,5517449
2019-12-24,50.83,50.69,50.93,50.57,2087767
2019-12-23,50.91,50.72,51.10,50.71,6547641
2019-12-20,51.44,50.69,51.44,50.66,18743335
2019-12-19,50.65,50.86,51.00,50.55,9222000
2019-12-18,51.00,50.66,51.12,50.64,9513060
2019-12-17,50.82,50.90,51.22,50.77,10447045
2019-12-16,50.77,50.72,51.12,50.60,11007602
2019-12-13,50.74,50.24,51.15,50.14,10191244
2019-12-12,49.65,50.69,50.87,49.47,11553705
2019-12-11,49.66,49.45,49.79,49.42,6296326
2019-12-10,49.53,49.67,49.93,49.27,10009607
2019-12-09,49.53,49.60,49.90,49.43,6409856
2019-12-06,49.84,49.80,50.24,49.73,9487810
2019-12-05,49.14,49.07,49.26,48.95,6680673
2019-12-04,48.36,48.84,49.09,48.17,8608998
2019-12-03,48.41,48.11,48.44,47.44,12608613
2019-12-02,49.58,49.08,49.96,49.06,8117599
2019-11-29,49.70,49.48,49.72,49.37,4138428
2019-11-27,49.63,49.78,49.87,49.50,8614071
2019-11-26,49.92,49.41,49.93,49.07,10369313
2019-11-25,49.35,49.96,49.98,49.32,8463572
2019-11-22,48.94,49.25,49.26,48.82,6609776
2019-11-21,49.25,48.84,49.34,48.73,8353623
2019-11-20,48.96,49.10,49.11,48.39,9138743
2019-11-19,49.22,49.33,49.60,49.21,6980321
2019-11-18,48.84,49.03,49.09,48.56,6447878
2019-11-15,48.87,48.99,49.16,48.72,6439116
2019-11-14,48.32,48.61,48.72,48.21,5836618
2019-11-13,48.52,48.39,48.58,48.19,7093249
2019-11-12,49.07,49.01,49.21,48.77,6400983
2019-11-11,48.86,49.09,49.39,48.71,7107518
2019-11-08,48.64,49.15,49.15,48.29,7966635
2019-11-07,49.12,48.66,49.58,48.57,14501500
2019-11-06,48.74,48.56,48.80,48.24,7872371
2019-11-05,48.97,48.75,49.89,48.68,13894126
2019-11-04,47.99,48.83,49.00,47.88,15965869
2019-11-01,46.52,47.33,47.40,46.46,9765948
2019-10-31,45.95,46.05,46.26,45.33,9414106
2019-10-30,46.26,46.26,46.29,45.83,7101420
2019-10-29,46.53,46.83,46.93,46.53,7773625
2019-10-28,46.49,46.84,47.16,46.47,10276046
2019-10-25,45.70,46.37,46.46,45.61,9576369
2019-10-24,46.00,45.76,46.13,45.51,7493880
2019-10-23,45.13,45.91,45.93,45.10,8441685
2019-10-22,44.85,45.38,45.62,44.57,12488325
2019-10-21,44.08,44.98,45.09,44.08,14384851
2019-10-18,43.53,43.66,43.86,43.23,10494743
2019-10-17,44.37,43.44,44.50,43.44,18020935
2019-10-16,42.59,42.79,43.15,42.45,10157239
2019-10-15,42.39,42.53,42.92,41.91,10293487
2019-10-14,41.77,42.25,42.31,41.68,6717592
2019-10-11,42.00,41.93,42.59,41.90,14990407
2019-10-10,40.86,41.05,41.41,40.75,8337146
2019-10-09,40.19,40.44,40.65,40.03,8999811
2019-10-08,40.05,39.82,40.20,39.69,8453598
2019-10-07,40.60,40.68,41.11,40.55,6394719
2019-10-04,40.34,40.78,40.82,40.18,6085180
2019-10-03,40.05,40.25,40.30,39.30,12221742
2019-10-02,41.04,40.23,41.09,40.09,12145026
2019-10-01,42.51,41.38,42.65,41.25,13583305
2019-09-30,43.07,42.67,43.20,42.58,6245321
2019-09-27,42.96,42.84,43.18,42.50,8005192
2019-09-26,42.96,42.62,43.01,42.58,5381131
2019-09-25,42.35,43.04,43.16,42.35,6943261
2019-09-24,43.77,42.54,43.77,42.37,11367248
2019-09-23,43.27,43.56,43.78,42.94,7357132
2019-09-20,44.22,43.67,44.60,43.63,22497623
2019-09-19,44.21,44.02,44.47,43.91,6483567
2019-09-18,43.91,44.36,44.49,43.65,8327576
2019-09-17,44.50,44.21,44.50,43.55,9843665
2019-09-16,44.49,44.75,45.05,44.35,6289751
2019-09-13,44.95,45.16,45.45,44.73,11364491
2019-09-12,43.51,44.32,44.44,43.38,13254316
2019-09-11,43.74,43.94,43.94,43.21,9877893
2019-09-10,43.28,43.58,43.81,43.06,12292914
2019-09-09,42.54,43.11,43.49,42.54,11888753
2019-09-06,42.47,42.18,42.55,42.01,7012752
2019-09-05,42.30,42.47,43.11,42.30,8104020
2019-09-04,41.44,41.53,41.69,41.30,6843792
2019-09-03,41.04,40.99,41.09,40.35,8675908
2019-08-30,41.68,41.49,41.87,41.30,7426965
2019-08-29,40.89,41.29,41.50,40.87,12191901
2019-08-28,39.40,40.38,40.70,39.35,9881886
2019-08-27,40.25,39.79,40.34,39.45,8745299
2019-08-26,39.84,40.16,40.27,39.70,10409414
2019-08-23,40.05,39.33,40.40,39.11,12310842
2019-08-22,40.36,40.27,40.42,39.92,8126381
2019-08-21,40.48,39.94,40.53,39.83,9878357
2019-08-20,40.04,39.90,40.29,39.83,11352657
2019-08-19,40.74,40.37,40.83,40.23,7803131
2019-08-16,39.53,39.94,40.19,39.42,9742767
2019-08-15,39.43,39.10,39.59,38.76,10818552
2019-08-14,39.57,39.33,39.57,38.84,17133401
2019-08-13,40.39,40.69,41.33,40.08,10942303
2019-08-12,40.77,40.36,40.90,40.16,8594313
2019-08-09,40.99,41.50,41.82,40.65,11011436
2019-08-08,41.01,41.27,41.46,40.64,9884353
2019-08-07,40.27,40.56,40.66,39.47,14108530
2019-08-06,40.95,41.22,41.33,40.47,10481193
2019-08-05,40.93,40.49,41.00,39.94,15311134
2019-08-02,42.73,42.12,42.75,41.24,16089937
2019-08-01,44.42,42.93,44.74,42.69,12963863
2019-07-31,44.70,44.56,44.99,44.28,8317093
2019-07-30,44.61,44.67,44.85,44.17,7339121
2019-07-29,45.64,45.23,45.73,45.07,8666967
2019-07-26,44.99,45.74,45.77,44.91,8320981
2019-07-25,45.50,44.87,45.57,44.60,8733840
2019-07-24,44.89,45.50,45.71,44.86,8092568
2019-07-23,44.77,45.10,45.29,44.77,9859575
2019-07-22,44.22,44.50,44.60,43.94,7091856
2019-07-19,44.35,44.39,44.71,44.33,10083648
2019-07-18,43.67,44.43,44.52,43.51,11187450
2019-07-17,44.26,43.77,44.32,43.66,9131788
2019-07-16,44.80,44.43,45.06,44.27,10171236
2019-07-15,45.01,44.43,45.01,44.29,7870655
2019-07-12,44.55,44.87,44.90,44.38,9565715
2019-07-11,43.49,44.18,44.33,43.38,8799426
2019-07-10,43.76,43.31,43.98,43.24,5310978
2019-07-09,43.08,43.78,43.87,43.02,5942327
2019-07-08,43.59,43.49,43.96,43.29,7060245
2019-07-05,44.49,44.21,44.82,44.07,6276024
2019-07-03,43.95,43.99,44.15,43.82,4470788
2019-07-02,43.70,43.83,43.93,43.40,8234802
2019-07-01,44.59,43.95,45.06,43.52,12225118
2019-06-28,44.20,43.81,44.57,43.74,15445649
2019-06-27,43.30,43.49,43.65,43.08,7459832
2019-06-26,42.78,42.99,43.29,42.75,7826369
2019-06-25,42.97,42.66,43.00,42.24,10232874
2019-06-24,43.50,43.07,43.90,42.99,8141400
2019-06-21,43.58,43.58,44.17,43.44,18451155
2019-06-20,43.60,43.46,43.95,42.99,9922837
2019-06-19,43.70,43.14,43.91,43.11,8034252
2019-06-18,42.57,43.34,43.81,42.44,10094493
2019-06-17,42.73,42.51,43.08,42.44,5658706
2019-06-14,43.19,42.82,43.22,42.51,7102628
2019-06-13,42.68,42.95,43.22,42.54,7530917
