Date,Open,Close,High,Low,Volume
2020-03-27,26.00,25.51,26.76,25.01,9473490
2020-03-26,25.81,27.51,27.70,25.50,11286661
2020-03-25,23.20,25.72,27.75,22.03,14365079
2020-03-24,21.03,22.93,23.30,20.74,11436769
2020-03-23,18.96,19.30,20.08,18.08,9604905
2020-03-20,20.81,19.23,21.25,19.14,12948460
2020-03-19,18.49,20.60,21.38,17.52,11718957
2020-03-18,20.62,18.78,21.29,16.07,13531026
2020-03-17,23.98,22.25,24.03,20.52,15057893
2020-03-16,23.88,23.25,25.32,22.40,15835890
2020-03-13,27.55,28.50,28.58,25.09,11920610
2020-03-12,29.66,25.67,29.78,25.50,13594514
2020-03-11,33.68,32.43,34.30,31.90,10814889
2020-03-10,34.58,35.07,37.18,33.17,10322098
2020-03-09,34.61,32.81,35.00,30.41,19741438
2020-03-06,39.16,37.84,39.55,37.42,14681430
2020-03-05,41.00,40.65,41.71,40.18,9251376
2020-03-04,41.91,42.54,42.65,41.37,8324248
2020-03-03,42.68,41.49,43.88,41.17,11832162
2020-03-02,42.11,42.85,42.89,41.43,10262199
2020-02-28,42.28,42.16,42.95,41.31,10908322
2020-02-27,44.34,43.41,45.19,43.39,7159503
2020-02-26,45.49,45.00,46.13,44.73,7270000
2020-02-25,45.85,45.24,46.34,45.19,8705976
2020-02-24,47.50,45.70,47.69,45.59,9774169
2020-02-21,49.55,48.60,49.78,48.59,4913794
2020-02-20,49.41,49.80,49.94,49.20,5507092
2020-02-19,49.40,49.41,49.78,49.10,5756034
2020-02-18,48.11,49.01,49.01,47.84,9404053
2020-02-14,49.86,48.48,50.66,48.29,11891212
2020-02-13,55.77,50.93,56.42,50.90,13179801
2020-02-12,54.90,54.28,55.10,54.28,3984127
2020-02-11,54.34,54.47,54.84,54.18,4656789
2020-02-10,53.46,54.14,54.15,53.36,2756754
2020-02-07,52.98,53.46,53.76,52.93,3766298
2020-02-06,52.87,53.41,53.60,52.64,5286399
2020-02-05,51.38,52.48,52.65,51.27,4408399
2020-02-04,51.79,50.65,52.08,50.58,3441118
2020-02-03,50.52,51.16,51.38,50.43,2916645
2020-01-31,50.75,50.26,51.15,49.94,5736268
2020-01-30,50.00,51.30,51.35,49.91,2979288
2020-01-29,50.59,50.35,50.85,50.33,2964368
2020-01-28,50.40,50.41,50.93,50.29,4131916
2020-01-27,50.10,50.13,50.34,49.89,3634699
2020-01-24,51.67,51.06,51.67,50.50,3227062
2020-01-23,51.72,51.61,51.95,51.25,3307098
2020-01-22,51.86,52.26,52.44,51.64,4341548
2020-01-21,52.55,51.67,52.70,51.58,4215138
2020-01-17,52.53,52.90,53.08,52.53,5818562
2020-01-16,52.12,52.36,52.58,52.12,3822233
2020-01-15,52.01,51.78,52.33,51.40,4094959
2020-01-14,52.57,52.34,53.10,52.18,5277001
2020-01-13,52.09,52.62,52.62,51.82,6039482
2020-01-10,52.30,52.03,52.64,51.88,5483011
2020-01-09,52.07,52.28,52.29,51.66,3219821
2020-01-08,51.11,51.71,52.25,51.11,4832134
2020-01-07,51.35,51.11,51.43,50.72,4580719
2020-01-06,51.13,51.40,51.64,51.04,2699832
2020-01-03,51.23,51.36,51.47,50.94,2358781
2020-01-02,51.64,51.76,51.87,51.24,2806703
2019-12-31,51.00,51.33,51.37,50.88,2912499
2019-12-30,51.22,51.00,51.23,50.78,2706309
2019-12-27,50.76,51.07,51.08,50.58,2374830
2019-12-26,51.05,50.62,51.19,50.57,2811077
2019-12-24,50.79,50.94,51.45,50.79,1138631
2019-12-23,51.54,50.97,51.60,50.71,4175301
2019-12-20,52.10,51.54,52.19,51.51,7345438
2019-12-19,51.75,51.93,52.08,51.45,4494182
2019-12-18,51.75,51.97,52.35,51.57,5090006
2019-12-17,51.83,51.79,52.38,51.72,3258717
2019-12-16,52.00,51.90,52.31,51.75,5856981
2019-12-13,51.15,51.60,52.03,51.12,5316806
2019-12-12,50.43,51.03,51.42,50.27,6080207
2019-12-11,50.82,50.41,50.90,50.27,4413085
2019-12-10,51.55,51.08,51.85,51.04,4634420
2019-12-09,51.72,51.58,52.53,51.50,3766937
2019-12-06,51.73,51.86,52.12,51.15,6731851
2019-12-05,51.19,51.14,51.52,50.95,3131292
2019-12-04,51.47,51.11,51.83,51.10,4212912
2019-12-03,51.20,51.17,51.38,50.34,5862592
2019-12-02,52.74,51.66,52.77,51.66,4180842
2019-11-29,52.84,52.66,53.17,52.59,2865501
2019-11-27,53.19,52.89,53.39,52.76,3770816
2019-11-26,53.31,53.17,53.73,52.93,7197905
2019-11-25,53.35,53.31,53.73,53.20,3073033
2019-11-22,52.34,53.30,53.33,52.23,4522497
2019-11-21,52.96,52.21,53.00,52.20,4337643
2019-11-20,53.36,52.93,53.42,52.64,5093425
2019-11-19,54.24,53.41,54.32,53.41,3394450
2019-11-18,53.65,54.15,54.16,53.50,2398587
2019-11-15,54.47,53.93,54.92,53.67,3404076
2019-11-14,54.72,54.19,54.97,53.88,3468938
2019-11-13,55.12,54.72,55.22,54.68,2737760
2019-11-12,55.33,55.41,55.77,55.05,3162694
2019-11-11,55.43,55.40,56.04,55.29,2568820
2019-11-08,55.64,55.91,55.94,55.04,2750648
2019-11-07,55.71,55.59,56.33,55.55,3280978
2019-11-06,54.90,55.52,55.57,54.61,3733066
2019-11-05,55.22,54.81,55.22,54.26,4342436
2019-11-04,54.08,54.93,55.39,53.93,4657798
2019-11-01,51.99,53.76,53.89,51.60,5378668
2019-10-31,52.36,52.96,53.02,51.90,5172420
2019-10-30,52.19,52.61,52.90,51.70,3961384
2019-10-29,52.35,52.10,52.68,51.21,7845806
2019-10-28,53.03,52.55,53.31,52.53,3817208
2019-10-25,52.72,52.80,52.91,52.34,2084440
2019-10-24,53.37,52.90,53.58,52.72,1691313
2019-10-23,53.06,53.15,53.30,52.68,2678512
2019-10-22,54.29,53.24,54.29,53.16,3458525
2019-10-21,54.51,54.55,54.88,54.44,2183406
2019-10-18,53.90,53.97,54.28,53.86,2343993
2019-10-17,54.71,54.06,54.82,53.92,2542543
2019-10-16,54.37,54.34,54.56,53.70,3470054
2019-10-15,54.35,54.68,54.98,54.29,2229512
2019-10-14,53.91,54.21,54.35,53.63,2011415
2019-10-11,54.89,54.42,55.64,54.33,4548293
2019-10-10,53.14,54.06,54.45,52.99,3998317
2019-10-09,52.77,53.04,53.36,52.64,2978425
2019-10-08,52.92,52.42,53.08,52.39,3820941
2019-10-07,54.22,53.63,54.29,53.61,2628320
2019-10-04,53.19,54.43,54.53,53.19,3344443
2019-10-03,53.19,53.21,53.74,52.71,3754667
2019-10-02,54.09,53.47,54.25,53.30,3546395
