Date,Open,Close,High,Low,Volume
2020-03-27,86.11,88.46,92.59,85.13,2662532
2020-03-26,83.11,89.50,90.51,83.01,3563478
2020-03-25,77.86,83.00,86.71,75.01,3539566
2020-03-24,78.10,77.92,79.18,75.70,3197668
2020-03-23,71.74,73.23,75.92,68.86,3181239
2020-03-20,76.36,73.87,78.66,70.76,3911134
2020-03-19,74.13,74.69,78.52,70.73,2475797
2020-03-18,81.64,75.55,83.75,64.13,3617445
2020-03-17,87.16,87.94,90.65,85.27,2917937
2020-03-16,78.00,84.98,90.54,78.00,3607740
2020-03-13,89.46,92.77,93.06,83.10,3606114
2020-03-12,86.04,83.80,90.38,83.72,4397735
2020-03-11,96.25,92.77,96.68,90.55,2661990
2020-03-10,99.36,99.26,100.20,94.58,2511182
2020-03-09,99.57,95.61,100.16,94.02,2527123
2020-03-06,104.21,107.14,107.71,103.91,3277466
2020-03-05,111.15,108.46,112.09,107.04,2459881
2020-03-04,111.33,114.51,114.89,110.17,1905902
2020-03-03,112.43,109.20,113.58,108.00,2810344
2020-03-02,104.59,112.67,112.76,104.59,2794625
2020-02-28,106.58,105.25,107.90,102.91,4179813
2020-02-27,114.59,109.92,115.03,109.87,2367068
2020-02-26,117.96,115.73,119.01,115.72,2479025
2020-02-25,120.75,117.31,120.80,117.14,2046443
2020-02-24,121.45,120.54,122.37,120.18,1745582
2020-02-21,123.29,123.62,124.03,122.92,1477670
2020-02-20,123.99,123.46,124.48,123.05,2146134
2020-02-19,124.60,124.26,125.00,123.85,1414649
2020-02-18,125.40,124.30,125.92,124.11,1663721
2020-02-14,124.93,125.57,125.59,124.65,1110898
2020-02-13,123.65,124.89,124.92,123.20,1367476
2020-02-12,125.25,123.78,125.25,122.95,1549109
2020-02-11,123.90,125.10,125.41,123.72,1739604
2020-02-10,124.34,123.95,124.83,123.27,1534299
2020-02-07,123.87,124.43,124.76,123.61,1331592
2020-02-06,124.77,123.89,125.43,123.79,1506724
2020-02-05,121.07,124.67,124.94,121.07,2718384
2020-02-04,120.16,119.95,121.16,119.91,1848480
2020-02-03,119.00,119.05,120.07,118.80,1439702
2020-01-31,119.21,118.54,120.11,118.27,1754476
2020-01-30,117.59,119.88,119.98,117.57,1289419
2020-01-29,118.50,118.36,118.72,117.67,1878790
2020-01-28,116.88,117.54,118.15,116.88,1496518
2020-01-27,117.00,116.58,117.93,116.56,1135196
2020-01-24,118.24,118.28,118.75,117.48,2152165
2020-01-23,117.06,118.15,118.39,116.10,1502433
2020-01-22,118.24,117.65,118.69,117.59,1274111
2020-01-21,117.15,117.80,118.27,117.06,1314122
2020-01-17,116.40,117.55,117.62,115.85,1725663
2020-01-16,114.54,116.15,116.16,114.27,1902984
2020-01-15,113.62,114.26,114.63,113.05,1692535
2020-01-14,114.35,113.80,114.39,113.44,1899079
2020-01-13,113.48,114.48,114.49,113.45,1526091
2020-01-10,113.96,113.45,114.16,113.18,1431212
2020-01-09,113.00,113.78,113.91,112.72,1462006
2020-01-08,112.55,112.50,113.83,112.44,1748857
2020-01-07,112.68,112.19,112.99,112.16,1640983
2020-01-06,112.34,113.16,113.21,112.04,1214837
2020-01-03,111.84,112.83,113.10,111.77,1047144
2020-01-02,112.97,112.82,113.00,111.66,1212402
2019-12-31,111.82,112.45,112.48,111.59,1109030
2019-12-30,112.00,111.77,112.05,111.34,920262
2019-12-27,111.87,111.87,112.12,111.41,1041606
2019-12-26,111.16,111.60,112.12,111.14,822900
2019-12-24,110.95,111.17,111.61,110.95,831741
2019-12-23,111.82,110.88,112.00,110.39,1834729
2019-12-20,112.43,111.58,113.32,111.51,3457820
2019-12-19,109.45,111.21,111.21,108.98,2351873
2019-12-18,110.18,109.65,110.18,109.19,1672249
2019-12-17,109.89,109.85,110.62,109.45,3208096
2019-12-16,109.90,109.62,110.12,109.17,2329896
2019-12-13,109.80,109.70,110.29,109.23,1523393
2019-12-12,109.39,110.35,110.57,108.93,1757153
2019-12-11,110.54,109.59,110.68,109.07,1489278
2019-12-10,111.34,110.74,111.76,110.63,1030984
2019-12-09,111.05,111.32,111.55,110.60,1798029
2019-12-06,110.17,111.10,111.51,110.17,1805106
2019-12-05,110.16,109.54,110.33,109.34,2608519
2019-12-04,109.36,110.14,110.52,109.12,1209072
2019-12-03,110.29,109.44,110.39,108.96,1269616
2019-12-02,111.71,111.14,111.85,111.02,1180662
2019-11-29,112.22,111.35,112.50,111.29,817942
2019-11-27,112.36,112.02,112.50,111.60,1599873
2019-11-26,110.89,112.62,112.64,110.64,2128433
2019-11-25,110.25,110.64,111.11,110.25,956210
2019-11-22,110.30,110.04,111.00,109.91,1036147
2019-11-21,110.31,110.20,110.64,109.30,1755922
2019-11-20,110.77,110.40,111.18,109.89,1787859
2019-11-19,111.54,111.03,111.77,110.91,1682165
2019-11-18,110.86,111.51,111.51,110.76,1669011
2019-11-15,110.97,111.10,111.32,110.46,1459480
2019-11-14,110.36,110.80,110.86,110.10,988066
2019-11-13,109.47,110.57,110.99,109.06,1816338
2019-11-12,109.62,110.13,111.00,109.29,2052970
2019-11-11,107.70,109.38,109.43,107.41,1011123
2019-11-08,107.54,108.19,108.31,107.34,1374493
2019-11-07,106.95,107.72,108.41,106.81,1974526
2019-11-06,105.87,106.95,106.99,105.67,1948164
2019-11-05,106.93,105.84,107.07,105.81,1554513
2019-11-04,106.55,106.49,107.53,106.36,1410250
2019-11-01,106.98,105.90,107.39,105.46,2281392
2019-10-31,104.47,106.42,106.46,104.07,1600628
2019-10-30,107.47,104.95,107.61,103.65,2267377
2019-10-29,106.80,108.22,108.22,106.32,1785280
2019-10-28,107.63,106.60,108.27,106.59,1937422
2019-10-25,108.19,107.24,108.20,106.73,1758091
2019-10-24,108.40,108.26,108.55,107.90,1105735
2019-10-23,107.50,108.18,108.40,107.50,1061577
2019-10-22,108.67,107.50,108.72,107.08,1420061
2019-10-21,108.94,109.13,109.29,108.43,1450810
2019-10-18,108.20,108.41,108.69,107.58,1671790
2019-10-17,107.79,107.74,108.41,107.33,1052435
2019-10-16,107.53,107.49,107.75,106.23,1337595
2019-10-15,108.62,108.07,109.13,108.02,1489393
2019-10-14,107.74,108.23,108.54,107.50,1528108
2019-10-11,108.21,107.93,108.97,107.87,1298959
2019-10-10,106.52,107.14,108.04,106.51,1245533
2019-10-09,106.60,106.57,107.06,106.29,848364
2019-10-08,106.72,105.90,106.99,105.87,1424233
2019-10-07,108.17,107.46,108.73,107.45,1337313
2019-10-04,105.73,108.46,108.50,105.73,1720601
2019-10-03,105.58,105.65,106.18,104.82,1284691
2019-10-02,106.63,105.61,107.13,104.96,1535148
2019-10-01,109.00,107.17,109.45,106.98,2534950
2019-09-30,108.38,108.68,108.86,107.75,2168445
2019-09-27,108.54,107.83,108.54,107.10,1553025
2019-09-26,107.65,108.11,108.64,107.29,1982518
2019-09-25,108.00,107.66,108.25,107.30,2304956
2019-09-24,108.87,107.76,109.55,107.48,2160718
2019-09-23,107.57,108.41,108.70,107.22,1091907
2019-09-20,108.67,107.92,109.02,107.33,2099893
2019-09-19,108.16,108.36,109.10,108.12,1602037
2019-09-18,108.00,107.99,108.70,107.18,2086665
2019-09-17,106.38,107.94,107.97,106.12,1916445
