Date,Open,Close,High,Low,Volume
2020-03-27,160.79,165.42,171.53,158.23,2180024
2020-03-26,163.88,165.70,167.44,161.50,2574327
2020-03-25,166.29,163.15,167.99,160.61,2845771
2020-03-24,150.67,166.04,167.55,150.25,2441636
2020-03-23,146.71,145.48,156.35,143.93,3027811
2020-03-20,152.60,149.55,155.40,145.75,3037751
2020-03-19,154.35,151.08,155.84,148.00,2627018
2020-03-18,156.41,155.92,158.94,145.05,2391089
2020-03-17,175.03,164.47,177.41,160.83,3626104
2020-03-16,160.68,170.53,176.26,154.51,3392729
2020-03-13,181.25,177.45,183.09,168.05,4007126
2020-03-12,175.43,173.49,181.37,169.53,4328569
2020-03-11,181.48,184.98,189.95,177.66,4925626
2020-03-10,184.80,183.10,189.67,175.25,4736359
2020-03-09,198.39,178.93,198.45,173.43,6143479
2020-03-06,209.48,214.81,216.01,206.47,1492781
2020-03-05,220.53,216.78,221.66,213.77,1283604
2020-03-04,218.65,225.48,225.56,216.71,1204813
2020-03-03,220.95,214.80,223.13,211.56,1251982
2020-03-02,208.78,221.06,221.23,208.60,2083043
2020-02-28,207.04,208.00,208.68,202.34,2363682
2020-02-27,219.84,212.22,221.72,212.05,1572151
2020-02-26,223.64,222.49,226.30,222.19,1093711
2020-02-25,227.38,222.44,228.17,221.47,1561974
2020-02-24,226.93,223.30,230.15,223.07,1250267
2020-02-21,234.27,231.51,234.75,230.69,890724
2020-02-20,236.82,234.33,237.38,232.31,791481
2020-02-19,236.65,237.43,238.19,235.35,1422471
2020-02-18,233.32,235.27,235.46,232.54,760167
2020-02-14,234.89,235.73,235.81,233.75,585481
2020-02-13,230.91,234.58,234.59,230.76,790272
2020-02-12,230.68,230.92,232.04,230.05,589021
2020-02-11,232.00,231.22,233.63,231.11,822377
2020-02-10,229.64,231.07,231.23,229.14,688406
2020-02-07,229.87,230.13,230.60,228.88,918946
2020-02-06,228.41,229.60,230.04,227.91,873070
2020-02-05,229.46,228.30,229.65,226.57,1025808
2020-02-04,227.00,226.64,228.63,226.48,1504081
2020-02-03,222.22,225.03,225.75,221.43,1193163
2020-01-31,223.76,220.25,227.71,219.76,1383509
2020-01-30,215.08,219.63,219.85,214.56,1213369
2020-01-29,217.00,216.58,218.44,216.27,839823
2020-01-28,212.25,216.56,217.72,212.25,982155
2020-01-27,210.65,211.95,213.22,210.65,493658
2020-01-24,213.71,213.42,214.84,211.79,639631
2020-01-23,210.72,213.10,213.29,210.17,891635
2020-01-22,211.54,211.91,212.83,211.40,634902
2020-01-21,211.30,211.26,212.28,210.17,1045270
