Date,Open,Close,High,Low,Volume
2020-03-27,31.63,32.54,33.53,31.28,5764585
2020-03-26,31.93,33.00,33.17,30.93,8442571
2020-03-25,31.51,31.64,32.89,29.51,9866701
2020-03-24,29.21,31.00,31.59,29.17,9411694
2020-03-23,28.81,27.49,28.96,26.93,8555226
2020-03-20,30.30,29.07,31.31,28.87,9555948
2020-03-19,28.46,30.00,31.32,27.70,7907605
2020-03-18,28.06,28.76,29.54,26.40,10176628
2020-03-17,30.13,29.97,30.60,28.19,11954602
2020-03-16,29.14,29.18,32.62,29.00,9714885
2020-03-13,31.75,34.13,34.13,30.45,9089324
2020-03-12,31.85,29.52,32.34,29.40,9726587
2020-03-11,35.62,34.20,35.92,33.70,8600293
2020-03-10,36.51,36.55,36.61,35.04,8741406
2020-03-09,34.80,34.95,37.44,34.20,8351880
2020-03-06,37.57,38.07,38.74,37.36,9299774
2020-03-05,38.56,39.30,40.12,38.16,10984106
2020-03-04,39.31,40.50,40.91,38.65,12017480
2020-03-03,40.89,38.83,40.94,38.10,14057775
2020-03-02,40.03,40.96,40.96,39.20,11490654
2020-02-28,39.52,39.90,40.07,38.54,14506949
2020-02-27,40.51,40.96,42.82,40.23,11049294
2020-02-26,41.82,41.37,42.07,41.19,6741572
2020-02-25,43.21,41.59,43.42,41.33,5765061
2020-02-24,44.02,43.13,44.12,42.90,5088329
2020-02-21,45.51,45.04,45.74,44.83,5058517
2020-02-20,45.80,45.83,46.30,45.60,2925869
2020-02-19,45.30,45.92,46.01,45.20,3956973
2020-02-18,45.80,45.29,46.03,45.18,3253802
2020-02-14,46.10,45.90,46.23,45.69,3770824
2020-02-13,46.44,46.03,46.60,45.96,2699350
2020-02-12,46.81,46.56,47.20,46.51,2631647
2020-02-11,46.66,46.42,46.80,46.31,3480555
2020-02-10,46.98,46.49,47.06,46.34,3079060
2020-02-07,47.23,47.25,47.51,46.98,3866985
2020-02-06,47.25,47.54,47.63,47.06,5696917
2020-02-05,46.48,46.98,47.20,46.45,5209430
2020-02-04,45.84,45.95,46.63,45.83,6870934
2020-02-03,45.04,45.21,45.88,44.92,6482200
2020-01-31,45.04,44.78,45.19,44.34,6765759
2020-01-30,44.16,45.40,45.48,44.10,5153412
2020-01-29,45.10,44.46,45.18,44.28,9835988
2020-01-28,45.40,44.97,45.43,44.81,8295772
2020-01-27,45.17,45.05,45.76,45.04,5940144
2020-01-24,46.66,45.95,46.70,45.54,6416428
2020-01-23,46.48,47.02,47.44,46.25,5586173
2020-01-22,46.92,46.73,47.07,46.50,6344932
2020-01-21,46.31,46.78,47.50,46.23,7863205
2020-01-17,46.85,46.18,46.96,45.86,12580024
2020-01-16,46.75,46.72,47.45,46.36,12395222
2020-01-15,50.73,50.69,50.89,50.37,4273620
2020-01-14,50.83,51.01,51.21,50.65,3150124
2020-01-13,50.67,50.88,50.89,50.55,3557461
2020-01-10,51.39,50.54,51.39,50.42,3307775
2020-01-09,51.51,51.48,51.60,51.27,2775413
2020-01-08,51.45,51.31,51.57,51.01,3941404
2020-01-07,50.69,51.25,51.42,50.69,3573860
2020-01-06,50.31,50.74,50.75,50.02,3978978
2020-01-03,50.26,50.27,50.43,49.80,2276082
2020-01-02,50.46,50.92,50.92,50.22,2587186
2019-12-31,50.14,50.33,50.48,50.06,2264833
2019-12-30,50.54,50.18,50.71,50.09,3458208
2019-12-27,50.53,50.32,50.64,50.17,1859160
2019-12-26,50.46,50.49,50.65,50.29,1211867
2019-12-24,50.39,50.35,50.47,50.17,763740
2019-12-23,50.65,50.37,50.70,50.09,2084437
2019-12-20,50.94,50.63,51.11,50.48,8378257
2019-12-19,50.95,50.85,51.25,50.73,4391393
2019-12-18,51.11,51.00,51.26,50.92,5175174
2019-12-17,50.62,51.16,51.25,50.51,4071024
2019-12-16,50.73,50.16,51.04,50.10,3239857
2019-12-13,51.03,50.22,51.40,50.16,3885607
2019-12-12,50.13,51.22,51.40,49.92,4453253
2019-12-11,49.93,49.88,50.37,49.80,4365258
2019-12-10,49.76,49.84,49.91,49.53,3265747
2019-12-09,49.57,49.70,49.89,49.41,2665017
2019-12-06,49.83,49.64,49.93,49.61,3687027
2019-12-05,49.03,49.27,49.30,48.90,2372529
2019-12-04,48.12,48.78,48.89,48.12,2189061
2019-12-03,48.61,48.12,48.69,47.91,3845601
2019-12-02,49.11,49.13,49.40,48.96,3429775
2019-11-29,48.88,48.97,49.10,48.64,3290357
2019-11-27,49.02,48.96,49.15,48.78,2820100
2019-11-26,49.37,48.78,49.43,48.55,3525746
2019-11-25,48.86,49.33,49.45,48.85,2359774
2019-11-22,48.65,48.80,49.10,48.56,3133657
2019-11-21,48.99,48.57,49.11,48.50,2743634
2019-11-20,48.56,48.88,48.94,48.38,3204842
2019-11-19,48.99,48.69,49.00,48.56,3054830
2019-11-18,48.63,48.73,49.03,48.43,2930857
2019-11-15,48.56,48.57,48.62,48.19,4286131
2019-11-14,48.32,48.42,48.63,48.18,2034717
2019-11-13,48.38,48.35,48.77,48.04,2806342
2019-11-12,49.21,48.90,49.31,48.78,3443831
2019-11-11,49.20,49.06,49.57,48.99,2988305
2019-11-08,49.33,49.20,49.67,48.98,3748684
2019-11-07,49.54,49.40,50.03,49.39,5281346
2019-11-06,49.15,49.13,49.49,48.93,3460007
2019-11-05,48.94,49.17,49.65,48.87,6953238
2019-11-04,47.74,48.72,48.74,47.60,6596940
2019-11-01,47.09,47.16,47.60,46.94,7002211
2019-10-31,46.44,46.75,46.75,46.18,8581636
2019-10-30,46.57,46.62,46.85,46.32,5709160
2019-10-29,46.66,46.63,47.18,46.61,8328269
2019-10-28,46.75,46.89,47.02,46.62,5010894
2019-10-25,45.92,46.38,46.75,45.86,5696967
2019-10-24,46.68,46.28,46.85,45.96,5723127
2019-10-23,46.04,46.73,46.95,46.04,6547837
2019-10-22,45.62,46.14,46.72,45.33,5818266
