Date,Open,Close,High,Low,Volume
2020-03-27,428.54,434.34,449.48,421.12,1044182
2020-03-26,408.06,451.90,454.50,405.57,1598329
2020-03-25,384.90,401.38,439.99,377.00,1950996
2020-03-24,349.30,371.70,373.06,346.29,1319554
2020-03-23,354.72,327.42,354.72,326.28,1422874
2020-03-20,401.01,354.72,402.40,350.96,1363213
2020-03-19,367.29,397.36,415.15,351.30,1593658
2020-03-18,357.17,373.36,374.57,323.98,1969554
2020-03-17,366.21,386.76,398.24,355.39,1609663
2020-03-16,368.44,357.28,376.57,354.01,1569371
2020-03-13,415.11,413.78,419.24,388.00,1579445
2020-03-12,398.38,386.22,420.00,383.43,1669907
2020-03-11,445.00,430.97,447.99,422.17,1263679
2020-03-10,441.33,459.00,459.02,434.23,1608337
2020-03-09,411.39,419.01,436.10,405.15,1478230
2020-03-06,452.04,450.41,458.96,440.52,1460371
2020-03-05,477.37,472.47,482.40,464.58,1022212
2020-03-04,488.09,495.31,497.77,479.30,1175004
2020-03-03,488.34,482.07,503.98,476.18,1589823
2020-03-02,467.14,487.94,488.18,461.57,1278217
2020-02-28,459.25,463.01,465.41,449.02,2039371
2020-02-27,495.64,475.82,500.86,475.78,1286083
2020-02-26,508.17,508.47,517.96,505.49,959697
2020-02-25,530.26,506.00,531.13,502.47,1064637
2020-02-24,536.05,528.00,541.31,527.65,1063898
2020-02-21,563.41,557.00,564.85,555.00,494166
2020-02-20,570.00,566.92,572.95,560.62,475404
2020-02-19,567.98,572.07,573.00,566.19,383200
2020-02-18,565.00,564.81,565.22,562.31,403248
2020-02-14,565.74,565.94,568.92,562.71,472391
2020-02-13,568.69,568.55,572.75,567.37,479675
2020-02-12,574.84,572.48,576.81,570.01,426314
2020-02-11,564.05,570.44,571.31,563.88,598959
2020-02-10,553.44,561.10,561.25,553.30,744099
2020-02-07,550.00,555.74,556.01,549.50,712908
2020-02-06,548.07,554.67,555.24,541.33,824432
2020-02-05,543.84,543.48,546.68,537.47,942967
2020-02-04,538.17,535.24,540.32,531.45,851764
2020-02-03,530.23,530.08,537.15,529.80,503076
2020-01-31,537.94,527.35,539.09,525.18,646420
2020-01-30,531.04,539.69,540.26,528.91,510956
2020-01-29,534.45,536.49,542.17,532.37,434731
2020-01-28,527.96,529.97,533.77,525.15,496575
2020-01-27,522.00,523.81,530.33,519.61,516527
2020-01-24,544.42,536.84,547.35,532.76,751151
2020-01-23,533.60,541.94,544.00,532.88,804476
2020-01-22,532.53,536.86,539.63,531.34,778123
2020-01-21,532.01,529.14,534.15,527.76,775987
2020-01-17,537.06,535.24,539.20,533.23,669121
2020-01-16,536.91,535.00,536.91,530.25,778150
2020-01-15,518.50,530.26,531.62,518.50,1005148
2020-01-14,520.15,518.32,525.00,516.52,924358
2020-01-13,513.27,523.11,523.45,513.27,651831
2020-01-10,514.51,512.18,515.24,510.41,483959
2020-01-09,513.88,513.10,514.82,510.60,477148
2020-01-08,507.77,507.10,510.14,502.24,726510
2020-01-07,502.88,507.22,509.82,502.88,454223
2020-01-06,500.17,504.00,504.77,498.51,411307
2020-01-03,501.72,503.57,506.70,501.52,337321
2020-01-02,510.00,508.98,510.00,504.92,520448
2019-12-31,500.76,502.70,502.89,498.28,296863
2019-12-30,504.00,500.84,504.00,499.59,276150
2019-12-27,503.25,503.01,504.55,501.62,221678
2019-12-26,499.84,503.24,503.26,499.73,156971
2019-12-24,500.30,499.64,500.76,497.44,126394
2019-12-23,501.62,499.66,502.82,497.61,361212
2019-12-20,506.36,499.59,506.36,499.42,967572
2019-12-19,499.34,502.34,503.86,499.02,428327
2019-12-18,503.17,499.49,503.17,498.17,542930
2019-12-17,503.53,502.29,505.22,500.10,425123
