Date,Open,Close,High,Low,Volume
2020-03-27,178.50,179.66,184.24,176.72,10264577
2020-03-26,181.29,183.90,184.96,179.59,14145128
2020-03-25,180.01,180.47,189.07,175.17,13856492
2020-03-24,170.91,178.20,179.14,169.53,14093996
2020-03-23,165.30,162.13,166.69,159.50,16512831
2020-03-20,176.30,170.06,177.18,167.29,15218821
2020-03-19,170.21,174.68,176.18,166.00,12492309
2020-03-18,177.29,172.44,181.39,167.00,16682838
2020-03-17,181.88,187.60,187.81,177.00,15081851
2020-03-16,174.00,177.77,188.38,173.62,14171802
2020-03-13,187.45,196.40,196.50,178.41,14867020
2020-03-12,183.60,175.97,187.67,175.00,22303501
2020-03-11,197.32,194.64,198.13,192.87,9586080
2020-03-10,201.35,202.73,202.86,195.05,10931656
2020-03-09,195.00,193.13,198.48,192.26,13986192
2020-03-06,203.48,205.98,207.41,202.35,9443910
2020-03-05,212.55,208.96,212.75,207.01,8114450
2020-03-04,212.14,217.86,218.34,209.26,7409199
2020-03-03,217.39,208.81,218.15,206.20,10717122
2020-03-02,207.25,217.63,218.80,204.43,10408117
2020-02-28,201.92,206.34,206.44,199.68,15149589
2020-02-27,212.90,207.67,214.38,207.28,10945542
2020-02-26,219.65,216.06,220.63,215.94,6907568
2020-02-25,222.20,218.05,223.24,216.76,8560131
2020-02-24,221.31,221.69,223.94,220.27,7933733
2020-02-21,227.53,229.33,230.07,226.98,4702108
2020-02-20,229.76,228.17,229.79,227.15,3549133
2020-02-19,227.68,229.24,229.71,226.93,3189102
2020-02-18,226.39,226.77,227.38,225.27,3153466
2020-02-14,226.49,226.80,227.14,225.52,2506699
2020-02-13,226.53,226.47,227.40,226.10,2838906
2020-02-12,227.60,227.44,228.84,226.91,3786174
2020-02-11,228.59,227.33,228.59,227.02,2918511
2020-02-10,227.17,227.11,227.75,225.13,2945177
2020-02-07,228.07,227.38,228.62,226.67,2886854
2020-02-06,229.56,229.61,230.08,228.53,2801166
2020-02-05,226.91,228.65,228.68,226.75,3364133
2020-02-04,226.15,225.08,226.94,224.79,3643707
2020-02-03,225.48,223.47,226.32,223.00,3525322
2020-01-31,226.49,224.43,226.97,223.43,3948507
2020-01-30,223.11,227.88,228.08,222.48,3355343
2020-01-29,224.75,224.50,226.40,224.31,2311394
2020-01-28,223.44,224.03,225.35,223.16,3613154
2020-01-27,223.70,222.45,223.90,221.11,5455063
2020-01-24,229.40,226.86,229.41,226.04,4024035
2020-01-23,229.43,229.38,229.77,227.35,4750042
2020-01-22,229.00,229.54,230.38,228.41,3164373
2020-01-21,229.85,228.63,231.13,227.95,5842158
2020-01-17,230.13,230.20,231.61,229.55,6603956
2020-01-16,229.34,229.73,230.03,228.52,3037238
