Date,Open,Close,High,Low,Volume
2020-03-27,44.13,43.80,45.50,43.00,25484515
2020-03-26,43.68,46.02,46.29,43.00,31566032
2020-03-25,42.31,41.86,44.70,39.43,38211105
2020-03-24,37.65,40.66,40.92,37.34,34100579
2020-03-23,37.55,35.39,38.15,34.62,33013303
2020-03-20,40.46,38.06,40.99,37.20,38163900
2020-03-19,35.47,39.64,41.24,34.20,43397147
2020-03-18,37.06,36.43,37.99,32.00,48351376
2020-03-17,42.00,40.25,43.98,38.80,51650016
2020-03-16,40.49,41.19,45.23,39.57,35133764
2020-03-13,47.82,51.04,51.24,45.31,40519843
2020-03-12,45.30,43.26,49.00,42.82,45941590
2020-03-11,53.95,50.79,54.33,50.02,36731404
2020-03-10,54.73,55.58,55.70,51.50,32527538
2020-03-09,54.31,51.37,55.61,51.00,35625570
2020-03-06,60.46,61.28,62.31,59.74,29916593
2020-03-05,64.80,63.49,65.12,63.01,27277560
2020-03-04,66.05,67.39,67.52,64.36,24188500
2020-03-03,67.86,65.05,68.43,64.47,29547744
2020-03-02,63.85,67.59,67.61,63.12,29006418
2020-02-28,62.00,63.46,64.45,61.34,46029788
2020-02-27,66.10,64.45,66.89,64.40,34656830
2020-02-26,70.02,68.18,70.61,68.16,25579944
2020-02-25,72.63,69.43,73.21,69.00,27451032
2020-02-24,73.38,72.53,74.05,72.44,21096233
2020-02-21,77.56,76.44,77.96,76.15,14020006
2020-02-20,77.66,78.22,78.69,77.31,11763378
2020-02-19,77.87,78.05,78.39,77.62,9145241
2020-02-18,78.61,77.58,78.86,77.51,10364196
2020-02-14,78.89,78.79,79.09,78.45,9056594
2020-02-13,78.89,79.00,79.28,78.62,8946172
2020-02-12,79.90,79.33,80.77,79.30,9484132
2020-02-11,78.75,79.09,79.55,78.64,9437214
2020-02-10,78.08,78.48,78.74,78.05,8418259
2020-02-07,78.13,78.69,79.05,78.06,8341713
2020-02-06,79.80,78.97,79.86,78.40,12826362
2020-02-05,77.92,78.85,78.98,77.81,13070420
2020-02-04,76.75,76.50,77.27,76.43,12173168
2020-02-03,74.70,75.13,76.21,74.70,11099179
2020-01-31,75.96,74.41,76.18,73.91,17101153
2020-01-30,75.74,77.43,77.54,75.50,12498150
2020-01-29,77.54,76.48,77.90,76.41,9480350
2020-01-28,77.21,77.24,78.13,76.78,10960222
2020-01-27,76.26,76.71,77.00,75.85,15859617
2020-01-24,79.62,78.42,79.67,77.64,15036072
2020-01-23,79.58,79.80,80.08,78.92,11618424
2020-01-22,80.20,80.10,80.48,79.86,8045841
2020-01-21,80.48,79.90,80.91,79.87,10522035
2020-01-17,81.16,81.12,81.40,80.81,12413057
