Date,Open,Close,High,Low,Volume
2020-03-27,82.74,85.45,88.24,82.62,3159224
2020-03-26,88.04,85.86,89.71,84.53,3560534
2020-03-25,85.69,86.86,90.87,84.33,3000004
2020-03-24,80.25,86.93,87.89,79.54,4379232
2020-03-23,78.40,76.69,79.40,74.33,4772956
2020-03-20,79.81,79.87,84.01,77.44,3788730
2020-03-19,80.38,79.03,82.03,75.88,4356932
2020-03-18,87.25,80.81,87.79,75.79,4721528
2020-03-17,90.46,91.90,93.89,89.18,4341502
2020-03-16,88.56,87.86,93.47,86.26,4249580
2020-03-13,95.98,98.64,99.19,91.40,5974034
2020-03-12,93.57,93.00,100.36,92.48,5559827
2020-03-11,100.43,98.95,100.96,97.92,2827814
2020-03-10,102.72,103.09,103.92,98.95,4267187
2020-03-09,98.33,99.88,102.17,97.62,4864422
2020-03-06,103.02,105.67,106.23,101.76,3651106
2020-03-05,108.43,106.56,108.49,105.33,3075902
2020-03-04,108.05,110.60,110.67,107.24,4734177
2020-03-03,108.21,106.52,110.34,105.04,3264755
2020-03-02,104.18,108.01,108.08,104.10,4028774
2020-02-28,104.44,104.56,105.62,101.56,4077704
2020-02-27,111.27,106.88,112.29,106.85,2325178
2020-02-26,111.80,112.59,113.42,111.64,1964739
2020-02-25,113.75,111.11,114.12,110.66,1721833
2020-02-24,113.89,113.33,115.35,112.73,2349602
2020-02-21,116.58,116.35,116.94,115.54,1947776
2020-02-20,118.33,117.08,118.63,116.70,1322639
2020-02-19,119.50,118.48,119.56,118.45,1143832
2020-02-18,118.63,119.45,119.51,118.22,1352661
2020-02-14,119.36,118.78,119.64,118.24,1214236
2020-02-13,118.69,119.37,119.88,118.66,1207289
2020-02-12,118.08,118.75,118.89,117.77,1247280
2020-02-11,117.95,118.15,118.45,117.58,1198826
2020-02-10,116.00,117.57,117.57,115.97,1131372
2020-02-07,116.36,116.68,117.26,115.84,1307312
2020-02-06,116.93,116.45,116.99,115.69,2415010
2020-02-05,115.70,116.69,116.70,114.51,2033838
2020-02-04,114.58,114.73,115.89,114.38,1462636
2020-02-03,112.52,113.45,113.88,112.30,1627933
2020-01-31,114.23,111.86,114.99,111.16,2621472
2020-01-30,113.66,114.60,115.48,111.52,2240484
2020-01-29,115.41,115.94,116.84,115.10,2176132
2020-01-28,113.17,115.14,115.67,113.17,1937156
2020-01-27,112.58,113.00,113.82,112.27,1047012
2020-01-24,114.48,113.87,114.74,113.15,915036
2020-01-23,113.06,114.23,114.29,112.57,1364933
2020-01-22,114.18,113.61,114.47,113.57,1192989
2020-01-21,113.78,113.96,114.56,113.59,1335138
2020-01-17,113.08,114.15,114.15,113.07,2238899
2020-01-16,112.72,112.82,112.93,112.17,1328008
2020-01-15,111.48,112.21,112.56,111.36,1392134
2020-01-14,111.78,111.51,112.17,111.16,1510025
2020-01-13,111.77,112.00,112.38,111.71,1529836
2020-01-10,112.25,111.70,112.43,111.47,1394087
2020-01-09,111.76,112.03,112.39,111.67,1276381
2020-01-08,111.64,111.24,112.35,111.21,1327273
2020-01-07,111.74,111.57,112.26,111.21,1014954
2020-01-06,111.33,111.91,111.95,111.06,1344383
2020-01-03,110.97,111.88,112.09,110.83,1486483
2020-01-02,111.59,112.05,112.05,111.12,1838533
2019-12-31,111.72,111.41,111.98,111.03,1843445
2019-12-30,112.27,111.83,112.37,111.43,1282110
2019-12-27,111.94,112.03,112.28,111.72,1043748
2019-12-26,112.03,111.84,112.20,111.46,617046
2019-12-24,111.46,111.57,111.81,111.21,391745
2019-12-23,112.12,111.28,112.58,111.19,1282804
2019-12-20,113.47,112.32,113.94,112.16,2371997
2019-12-19,111.30,112.21,112.67,111.14,1430389
2019-12-18,112.35,111.53,112.57,111.33,2133723
2019-12-17,111.76,112.05,112.19,111.35,1949961
2019-12-16,111.35,111.65,111.83,110.21,1439317
2019-12-13,109.32,110.54,110.70,109.05,1433359
2019-12-12,109.00,110.28,110.47,108.97,1300164
2019-12-11,108.70,108.97,109.27,108.62,1649084
2019-12-10,108.47,108.70,108.80,108.21,1380776
2019-12-09,108.29,108.34,108.66,107.86,1111149
2019-12-06,108.10,108.25,108.51,107.50,1243882
2019-12-05,107.46,107.37,107.61,106.87,1176633
2019-12-04,106.10,107.12,107.30,105.98,1591660
2019-12-03,106.11,106.03,106.60,105.75,1659771
2019-12-02,107.46,106.93,108.12,106.86,1215212
2019-11-29,108.19,108.07,108.68,107.91,632337
2019-11-27,108.13,108.35,108.71,107.55,1107718
2019-11-26,108.13,108.18,108.50,107.67,2501594
2019-11-25,108.27,108.00,108.73,107.61,2028574
2019-11-22,107.26,107.93,108.01,107.09,1601517
2019-11-21,106.99,107.12,107.34,106.23,2059716
2019-11-20,106.88,107.16,107.48,106.49,1759576
2019-11-19,106.49,107.18,107.56,106.32,1678910
2019-11-18,106.00,106.24,106.45,105.51,1517590
2019-11-15,105.35,105.50,105.86,105.00,1706871
2019-11-14,104.94,105.34,105.37,104.54,1498043
2019-11-13,103.90,104.99,105.32,103.38,1801167
2019-11-12,103.73,104.15,104.35,103.52,1035473
2019-11-11,102.50,103.41,103.76,102.38,1226767
2019-11-08,102.97,103.31,103.37,102.43,1446719
2019-11-07,103.94,103.19,104.17,103.06,1339761
2019-11-06,101.67,103.45,103.50,101.67,1247304
2019-11-05,102.86,101.70,103.20,101.41,2207484
2019-11-04,104.75,102.69,104.86,102.15,1864761
2019-11-01,104.30,104.27,104.49,103.57,1961073
2019-10-31,103.08,103.62,104.27,102.53,2149203
2019-10-30,102.08,103.53,103.66,101.08,1644287
2019-10-29,98.36,102.09,102.96,98.36,2827508
2019-10-28,97.75,97.87,98.27,97.44,2283709
2019-10-25,98.99,97.57,99.06,97.47,1513921
2019-10-24,99.07,98.70,99.13,98.11,1777920
2019-10-23,98.88,98.99,99.48,98.26,2234167
2019-10-22,99.53,99.05,100.07,98.90,2609750
2019-10-21,99.49,99.74,99.75,98.98,1519715
2019-10-18,98.09,99.05,99.31,97.59,2367733
2019-10-17,98.58,98.45,98.77,98.10,1949780
2019-10-16,97.38,98.20,98.20,96.83,1416119
2019-10-15,97.46,97.68,98.26,97.32,1146094
2019-10-14,96.88,97.12,97.51,96.62,821078
2019-10-11,97.41,97.09,98.32,97.01,1427531
2019-10-10,95.28,96.23,96.60,95.00,1344625
2019-10-09,96.27,95.62,96.30,95.36,2177335
2019-10-08,97.01,95.25,97.07,95.24,2403549
2019-10-07,98.00,97.63,98.56,97.62,1640874
2019-10-04,96.94,98.36,98.63,96.70,1731782
2019-10-03,96.11,96.54,96.64,95.16,1396852
2019-10-02,97.62,96.08,97.94,95.73,1548196
2019-10-01,100.53,98.30,100.99,98.29,1201940
2019-09-30,99.96,100.05,100.27,99.66,1048432
2019-09-27,100.95,99.76,100.95,99.19,887202
2019-09-26,100.66,100.27,100.98,99.49,1128344
2019-09-25,100.76,100.39,101.87,100.25,1234271
2019-09-24,101.33,100.53,102.23,99.99,1363668
2019-09-23,100.37,101.12,101.44,100.37,974634
2019-09-20,102.56,100.90,102.80,100.73,4641202
2019-09-19,101.72,102.24,102.67,101.57,1148733
2019-09-18,101.29,101.62,101.76,100.66,933066
2019-09-17,100.29,101.46,101.50,100.10,1339106
2019-09-16,99.22,100.03,100.09,98.94,934034
2019-09-13,99.92,99.84,99.95,99.02,1202403
