Date,Open,Close,High,Low,Volume
2020-03-27,97.48,100.13,103.29,96.98,2535559
2020-03-26,92.58,102.92,103.73,92.05,3736695
2020-03-25,91.52,92.05,97.17,86.90,3793113
2020-03-24,86.55,90.18,90.99,84.66,5137316
2020-03-23,86.35,80.64,88.44,79.41,3848297
2020-03-20,94.08,89.49,95.37,86.60,3939893
2020-03-19,85.43,92.42,96.50,84.57,3370805
2020-03-18,88.78,87.53,91.19,81.03,5107585
2020-03-17,91.30,96.00,96.19,87.54,4487231
2020-03-16,91.18,89.97,103.29,89.26,5318354
2020-03-13,103.31,106.98,107.18,99.46,6420111
2020-03-12,93.48,94.72,104.00,90.89,5347720
2020-03-11,104.29,101.94,106.08,100.13,5605566
2020-03-10,104.05,108.04,108.98,100.30,4757122
2020-03-09,102.60,98.75,107.21,97.55,4702274
2020-03-06,115.38,114.23,118.49,112.12,3703980
2020-03-05,124.66,120.69,124.81,118.45,3561536
2020-03-04,127.16,129.40,129.61,124.61,2598630
2020-03-03,132.00,125.49,133.64,124.05,3545500
2020-03-02,126.82,132.64,132.76,124.65,2965206
2020-02-28,126.31,126.40,127.95,122.55,4900446
2020-02-27,136.01,130.62,136.81,130.53,3669168
2020-02-26,142.55,138.71,143.08,138.68,2734837
2020-02-25,148.90,141.34,149.34,141.01,2827986
2020-02-24,149.31,148.81,150.22,148.08,2234698
2020-02-21,153.60,153.80,154.07,151.78,1547548
2020-02-20,152.75,154.48,154.94,152.27,1426397
2020-02-19,152.15,153.35,153.90,151.89,1317613
2020-02-18,153.49,151.39,154.13,150.00,2121901
2020-02-14,155.16,154.13,155.44,153.18,1832369
2020-02-13,154.76,155.32,155.55,154.13,1388011
2020-02-12,156.00,155.21,156.92,154.84,956180
2020-02-11,154.34,154.79,155.69,154.19,1224393
2020-02-10,152.49,153.86,153.86,152.31,1206488
2020-02-07,151.82,153.35,153.64,151.38,1547163
2020-02-06,154.82,152.85,154.95,152.68,1484322
2020-02-05,152.52,153.79,153.85,152.30,1451879
2020-02-04,151.95,150.66,152.23,150.43,1502467
2020-02-03,150.04,149.54,151.15,149.26,1969404
2020-01-31,149.27,148.55,150.69,148.24,2808410
2020-01-30,147.13,150.96,151.10,147.13,2277498
2020-01-29,149.91,148.59,150.76,148.33,1091882
2020-01-28,149.32,149.69,150.97,148.88,1636228
2020-01-27,147.94,148.53,150.00,147.32,2343406
2020-01-24,152.48,150.38,152.48,149.52,3152878
2020-01-23,151.39,152.71,153.25,149.93,2118177
2020-01-22,151.96,152.26,153.02,151.65,2637334
2020-01-21,152.14,151.65,153.33,151.46,2036594
2020-01-17,153.05,153.36,154.05,152.85,2515591
2020-01-16,153.58,152.62,153.70,149.95,3831616
2020-01-15,158.31,154.08,158.31,153.33,4078473
2020-01-14,159.17,159.88,160.95,158.81,3335543
2020-01-13,158.88,159.44,159.54,157.82,2391330
2020-01-10,160.98,158.57,160.98,158.47,2182480
2020-01-09,160.38,160.81,161.25,159.84,1651980
2020-01-08,158.00,158.89,159.91,157.30,1958425
2020-01-07,157.43,157.26,158.40,156.61,1936596
2020-01-06,158.10,158.51,158.68,157.45,1335484
2020-01-03,158.41,158.83,159.59,157.43,1374430
2020-01-02,159.75,160.37,160.37,158.90,1881277
2019-12-31,159.85,159.63,160.37,158.99,1499788
2019-12-30,161.59,160.02,161.79,159.88,1401139
2019-12-27,161.55,160.81,161.72,160.56,1051812
2019-12-26,160.48,161.15,161.27,160.29,798026
2019-12-24,159.84,160.42,160.56,159.58,1230041
2019-12-23,160.08,159.53,160.64,158.92,1253567
