Date,Open,Close,High,Low,Volume
2020-03-27,239.08,239.75,246.53,236.77,2924894
2020-03-26,231.53,244.95,246.55,230.41,2812343
2020-03-25,202.78,227.19,234.70,217.33,2034246
2020-03-24,202.78,218.66,219.40,199.90,2755784
2020-03-23,202.83,192.05,212.03,191.32,2605201
2020-03-20,211.01,208.79,215.00,205.11,3558629
2020-03-19,192.79,207.78,211.92,186.74,3203523
2020-03-18,212.90,193.08,218.52,186.06,4235652
2020-03-17,228.62,227.66,231.29,220.15,3085375
2020-03-16,222.61,222.16,232.32,209.69,3119429
2020-03-13,237.73,248.10,249.92,225.68,3394465
2020-03-12,224.23,221.46,231.39,213.67,4659918
2020-03-11,250.91,240.36,254.77,237.23,3395473
2020-03-10,252.51,259.17,259.43,245.68,3059284
2020-03-09,249.84,242.51,258.78,241.95,3947456
2020-03-06,268.89,271.06,272.31,264.00,2513676
2020-03-05,289.30,278.42,289.48,274.96,1824765
2020-03-04,285.03,296.06,296.24,281.93,1468325
2020-03-03,289.83,280.14,297.64,277.66,2691843
2020-03-02,271.05,289.31,291.27,269.22,3140765
2020-02-28,260.22,265.91,265.92,257.00,2901471
2020-02-27,276.85,267.15,277.38,267.15,2298287
2020-02-26,283.72,282.77,289.34,281.35,1460483
2020-02-25,291.25,282.63,292.82,280.95,1439359
2020-02-24,284.81,290.90,292.73,283.32,2006010
2020-02-21,301.42,293.25,301.88,291.65,2066660
2020-02-20,310.09,303.41,310.37,300.52,1898476
2020-02-19,308.14,311.16,312.94,307.18,1341095
2020-02-18,306.93,306.74,308.93,304.28,1047031
2020-02-14,301.73,307.65,307.70,300.55,979283
2020-02-13,301.92,301.35,303.82,297.60,1107731
2020-02-12,295.35,303.83,304.14,294.68,1288038
2020-02-11,297.18,294.12,298.08,292.58,1397488
2020-02-10,294.43,296.56,296.79,293.74,1069949
2020-02-07,297.11,295.48,297.62,294.74,1401623
2020-02-06,296.98,295.52,298.89,292.27,1975094
2020-02-05,299.57,294.77,300.36,291.66,1320514
2020-02-04,298.97,297.92,300.89,297.81,1277122
2020-02-03,294.65,295.67,297.37,294.28,1002254
2020-01-31,298.51,293.73,299.89,292.67,1209723
2020-01-30,296.64,299.86,300.10,295.29,913883
2020-01-29,298.92,297.31,300.71,297.01,760113
2020-01-28,294.09,297.28,298.43,293.40,882437
2020-01-27,291.00,293.13,293.93,290.01,919424
2020-01-24,298.67,294.83,299.14,293.32,835826
2020-01-23,294.39,297.19,297.94,294.39,813355
2020-01-22,298.90,297.42,299.59,296.88,956340
2020-01-21,294.76,296.20,297.59,294.01,1423494
2020-01-17,299.42,296.79,299.44,295.41,2246627
2020-01-16,296.19,298.19,298.20,294.02,789475
2020-01-15,290.00,294.38,296.15,290.00,1066246
2020-01-14,293.85,290.17,294.26,289.90,1249145
2020-01-13,288.76,294.24,294.26,288.44,961736
2020-01-10,290.64,288.94,290.91,288.09,834499
2020-01-09,285.68,289.58,290.90,285.68,1316140
2020-01-08,281.93,285.01,286.81,281.13,1004476
2020-01-07,283.12,280.98,286.69,280.97,1253709
2020-01-06,275.60,279.04,279.07,274.77,875497
2020-01-03,274.55,276.91,278.20,274.03,576754
2020-01-02,274.57,277.84,277.90,273.72,1092326
2019-12-31,271.51,273.05,273.30,270.85,638939
2019-12-30,274.38,271.94,274.74,271.01,539003
2019-12-27,274.44,274.29,274.86,272.39,688782
2019-12-26,273.33,273.56,274.33,272.43,450279
2019-12-24,271.84,272.50,273.05,271.05,363043
2019-12-23,272.92,271.37,273.44,270.90,1054441
2019-12-20,272.50,271.66,273.91,270.50,1695071
2019-12-19,268.96,272.48,272.52,268.78,1570452
2019-12-18,272.34,269.45,272.57,268.90,1603950
2019-12-17,274.03,271.56,274.03,271.56,1667538
2019-12-16,273.32,272.61,273.98,271.25,1173113
2019-12-13,269.08,271.20,271.48,268.19,1468719
2019-12-12,272.09,270.29,272.58,270.20,1779499
2019-12-11,272.75,272.15,273.70,271.21,1267006
2019-12-10,271.96,271.66,273.54,270.81,971211
2019-12-09,275.19,272.06,275.19,271.92,1097547
2019-12-06,273.62,274.38,275.75,272.01,1585735
2019-12-05,269.56,271.54,272.14,268.74,1523524
2019-12-04,263.69,268.46,268.98,263.35,1012958
2019-12-03,260.05,264.00,264.03,259.45,1337749
2019-12-02,265.21,262.19,266.65,261.36,1967590
2019-11-29,264.41,264.65,267.10,264.08,1037691
2019-11-27,266.91,265.50,267.87,262.54,1231626
2019-11-26,266.53,266.90,267.33,265.06,2976122
2019-11-25,264.77,265.85,267.79,264.75,1251307
2019-11-22,268.85,265.21,269.24,263.90,932315
2019-11-21,268.20,264.39,269.95,263.84,1031602
2019-11-20,267.70,268.10,272.65,266.69,1180939
2019-11-19,265.57,267.87,270.45,265.52,1238896
2019-11-18,263.20,264.08,265.34,262.11,851492
2019-11-15,261.60,262.89,262.97,259.83,856303
2019-11-14,258.23,260.00,260.19,257.23,465881
2019-11-13,255.07,258.62,259.67,254.57,648263
2019-11-12,255.72,255.13,257.13,254.42,620883
2019-11-11,253.66,255.07,257.08,252.37,499266
2019-11-08,255.00,255.30,256.50,253.32,646755
2019-11-07,254.85,255.59,256.12,252.22,1142172
2019-11-06,251.09,253.39,254.15,250.43,1308878
2019-11-05,255.96,251.19,256.58,249.08,988638
2019-11-04,260.23,256.34,260.55,255.33,1126028
2019-11-01,260.01,258.80,261.38,257.87,1088996
2019-10-31,254.56,257.99,259.18,254.56,1220750
2019-10-30,256.31,254.65,257.29,251.00,1147425
2019-10-29,254.60,256.22,258.25,252.10,1351895
2019-10-28,249.67,248.59,250.24,246.90,1288464
2019-10-25,247.95,249.27,250.06,247.79,801803
2019-10-24,245.58,248.40,250.14,244.02,1108410
2019-10-23,245.64,243.91,246.87,241.35,1472576
2019-10-22,251.31,246.18,253.27,245.96,993076
2019-10-21,252.07,251.42,252.07,249.25,880638
2019-10-18,251.91,250.48,253.04,249.08,1137321
2019-10-17,253.12,253.00,254.15,252.36,1082561
2019-10-16,252.90,252.30,252.90,248.38,728623
2019-10-15,253.75,253.45,256.10,252.52,894556
2019-10-14,252.40,251.37,253.78,251.12,661937
2019-10-11,255.06,252.99,256.03,252.65,1307200
2019-10-10,247.89,250.97,252.08,247.77,1169391
2019-10-09,245.13,248.79,249.55,244.00,1266095
2019-10-08,243.59,241.85,245.33,239.64,1045569
2019-10-07,243.40,245.58,247.27,243.40,1110316
2019-10-04,240.61,244.44,245.18,240.58,1244529
2019-10-03,236.44,239.62,239.71,233.49,1313120
2019-10-02,241.19,236.44,241.90,235.75,1325445
2019-10-01,244.70,242.85,245.03,242.06,2485091
2019-09-30,246.43,244.98,249.27,244.28,2719036
2019-09-27,257.34,246.35,258.46,243.04,2088547
2019-09-26,253.87,256.00,257.13,253.06,949081
2019-09-25,252.01,254.58,255.36,250.43,930498
2019-09-24,253.51,251.78,255.60,250.66,1040786
2019-09-23,252.79,252.46,254.48,251.86,900975
2019-09-20,256.12,252.78,258.01,252.09,1424366
2019-09-19,255.51,256.73,257.46,254.98,1129598
2019-09-18,257.11,254.69,257.98,250.75,1228012
2019-09-17,250.00,256.12,256.98,249.76,1475017
2019-09-16,248.69,249.50,251.42,247.61,1152696
2019-09-13,252.12,250.07,252.91,249.06,1361596
2019-09-12,253.69,251.88,257.29,251.15,1285826
2019-09-11,253.00,252.00,253.68,249.21,1426190
2019-09-10,259.18,252.35,260.86,250.85,2095742
2019-09-09,268.93,260.76,269.57,259.58,1089658
2019-09-06,265.52,267.75,268.55,264.96,1112572
2019-09-05,262.32,264.83,265.49,260.67,1191127
2019-09-04,260.44,259.20,260.62,256.91,1492080
2019-09-03,259.44,258.67,261.29,258.13,1295716
2019-08-30,262.75,260.19,262.84,259.58,1455361
2019-08-29,261.13,260.75,262.29,259.48,1102649
2019-08-28,256.99,258.72,258.95,254.34,1034133
2019-08-27,259.02,257.26,259.40,255.80,1026238
2019-08-26,258.77,257.20,259.99,255.36,1327338
2019-08-23,262.01,257.04,263.19,255.44,1390936
2019-08-22,265.32,263.32,266.22,260.87,1058977
2019-08-21,262.62,264.62,265.63,262.26,1133609
2019-08-20,259.69,261.24,263.17,259.00,1013810
2019-08-19,259.37,260.68,261.61,258.36,1321893
2019-08-16,254.62,256.68,257.67,254.00,2637793
2019-08-15,250.78,253.17,254.07,248.88,919203
2019-08-14,253.08,248.61,256.32,247.89,1339034
2019-08-13,255.12,258.37,259.09,252.49,1022933
2019-08-12,254.62,254.10,255.66,251.60,794030
2019-08-09,256.84,256.19,258.02,253.16,1337204
2019-08-08,251.75,257.78,258.59,251.15,1746910
2019-08-07,244.00,248.68,250.34,241.85,1435921
2019-08-06,245.34,245.82,247.05,242.53,2488716
2019-08-05,251.37,244.18,251.37,242.24,1736882
2019-08-02,256.95,253.95,258.13,252.68,1335243
2019-08-01,252.66,257.22,262.83,252.21,2297290
2019-07-31,242.55,244.95,248.71,242.05,2239594
2019-07-30,242.74,241.93,242.74,241.15,860544
2019-07-29,244.38,243.30,244.98,242.98,677180
2019-07-26,243.04,244.35,244.53,242.52,760660
2019-07-25,242.72,242.35,243.00,240.76,894677
2019-07-24,242.31,243.09,243.24,238.86,1059319
2019-07-23,242.11,243.42,243.94,240.53,997125
2019-07-22,240.52,241.46,242.45,239.71,989678
2019-07-19,242.09,239.93,242.80,239.61,1279442
2019-07-18,240.62,241.11,242.41,239.86,865736
2019-07-17,240.07,240.42,241.76,239.71,1011591
2019-07-16,239.69,240.03,240.94,239.06,606861
2019-07-15,240.95,240.89,241.92,239.76,565121
2019-07-12,239.48,241.26,241.29,238.01,1338433
2019-07-11,235.47,238.44,238.56,234.50,720448
2019-07-10,233.21,234.76,236.00,233.21,916546
2019-07-09,230.44,231.48,231.88,229.79,1065197
2019-07-08,235.18,232.39,235.54,231.02,740611
2019-07-05,238.65,237.00,238.99,234.74,775149
2019-07-03,236.22,238.14,238.18,234.78,868469
2019-07-02,231.97,234.98,235.67,231.97,914503
2019-07-01,230.59,232.26,233.30,229.77,959157
2019-06-28,227.89,227.79,229.44,227.07,1813501
2019-06-27,226.93,226.99,227.81,225.68,666796
2019-06-26,228.55,226.40,229.22,225.38,918898
2019-06-25,229.66,227.98,230.70,227.89,1152261
2019-06-24,228.94,228.85,230.00,228.48,799303
2019-06-21,230.86,228.70,231.18,228.58,1519541
2019-06-20,232.52,231.28,235.58,230.38,1339850
2019-06-19,227.05,230.57,231.25,226.37,1130424
2019-06-18,225.28,226.23,227.07,225.00,796166
2019-06-17,225.23,224.17,225.84,223.95,823064
2019-06-14,224.64,224.90,225.70,222.22,717882
2019-06-13,224.63,224.45,225.52,222.88,559682
2019-06-12,222.73,224.20,224.50,222.12,530501
2019-06-11,228.68,222.69,229.00,221.37,839636
2019-06-10,225.90,227.13,227.64,225.05,833956
2019-06-07,222.50,224.67,225.22,222.04,948869
2019-06-06,221.38,222.01,222.45,220.37,763678
2019-06-05,216.36,220.27,220.89,216.17,1313044
2019-06-04,215.38,214.83,215.74,210.49,1254198
2019-06-03,214.39,212.97,216.03,211.35,849831
2019-05-31,215.77,213.88,215.87,213.29,1095507
2019-05-30,216.55,217.16,219.63,216.21,733769
2019-05-29,214.23,216.54,217.96,214.19,1237945
2019-05-28,214.37,214.52,217.30,214.11,1593566
2019-05-24,215.33,214.33,215.33,211.89,1275478
2019-05-23,216.16,213.99,216.47,212.57,1046544
2019-05-22,216.77,217.60,220.34,216.71,1288293
2019-05-21,216.58,216.93,217.22,213.74,1696771
2019-05-20,211.92,211.83,213.36,210.60,1067487
2019-05-17,213.23,212.94,215.31,212.51,1686721
2019-05-16,212.88,215.29,216.39,208.72,885272
2019-05-15,210.67,211.72,213.34,209.85,1232544
2019-05-14,209.27,211.83,214.62,209.27,1117629
2019-05-13,211.17,208.68,211.69,205.93,1538223
2019-05-10,212.39,214.33,214.68,209.41,900201
2019-05-09,212.58,213.12,213.74,210.50,1331311
2019-05-08,213.37,214.73,216.67,213.35,1242114
2019-05-07,217.57,214.60,217.57,212.59,1078589
2019-05-06,214.44,219.61,220.04,213.59,973056
2019-05-03,217.03,217.88,218.61,215.42,1128985
2019-05-02,215.99,217.17,219.81,212.74,1373589
2019-05-01,220.99,219.45,222.00,219.30,1113928
2019-04-30,220.00,220.66,220.87,218.69,1066164
2019-04-29,220.18,219.70,220.92,219.47,1016097
2019-04-26,219.20,220.27,220.30,217.54,565178
2019-04-25,217.88,219.20,219.86,216.68,651036
2019-04-24,216.18,218.38,219.20,216.18,861517
2019-04-23,216.99,217.99,218.05,215.90,1059042
2019-04-22,216.42,217.16,217.77,216.06,872899
2019-04-18,215.07,217.20,217.55,214.08,758691
2019-04-17,217.67,215.39,217.67,214.30,716482
2019-04-16,217.15,216.95,217.94,216.72,607431
2019-04-15,215.43,216.47,216.53,214.57,667148
2019-04-12,214.70,214.93,214.93,213.22,793052
2019-04-11,214.14,213.13,214.14,212.65,1403658
2019-04-10,215.36,212.68,215.70,212.43,850218
2019-04-09,212.42,214.81,215.25,212.01,990080
2019-04-08,214.29,213.65,214.50,212.70,634292
2019-04-05,213.60,214.53,214.99,213.07,743472
2019-04-04,214.01,212.65,214.27,212.46,605215
2019-04-03,214.50,213.60,214.93,213.00,896437
2019-04-02,213.01,213.22,213.50,210.16,719883
2019-04-01,212.02,212.90,213.62,211.33,1135966
2019-03-29,208.99,210.55,211.27,208.08,1400155
2019-03-28,205.88,207.66,207.92,205.50,716401
2019-03-27,205.80,205.18,206.66,204.24,1095770
2019-03-26,206.15,206.13,206.81,204.63,815049
2019-03-25,206.03,205.01,206.09,203.86,760869
2019-03-22,207.32,205.49,208.81,205.22,882685
2019-03-21,205.32,209.77,210.54,204.52,1275592
2019-03-20,206.86,206.28,208.08,204.74,1534833
2019-03-19,207.41,207.86,208.71,206.32,2051023
2019-03-18,203.44,205.72,206.73,203.44,1778441
2019-03-15,201.65,203.18,203.26,200.39,2047748
2019-03-14,199.79,201.60,201.65,198.98,1424021
2019-03-13,196.87,199.70,200.14,196.61,1115545
2019-03-12,197.80,197.50,198.41,197.18,1050374
2019-03-11,197.14,197.24,198.64,196.63,856063
2019-03-08,195.04,196.33,196.60,194.99,664438
2019-03-07,196.55,196.48,196.92,194.95,1103010
2019-03-06,198.02,197.32,198.70,196.11,890084
2019-03-05,200.39,197.96,200.93,197.89,938387
2019-03-04,202.98,199.89,203.49,198.38,1019126
2019-03-01,202.13,201.84,203.49,201.38,1098422
2019-02-28,201.90,200.37,202.98,200.21,1329947
2019-02-27,201.12,201.72,202.29,200.24,1054906
2019-02-26,201.50,201.48,202.62,201.02,1054035
2019-02-25,202.97,201.94,204.27,201.54,1166759
2019-02-22,199.15,201.88,202.00,198.90,987631
2019-02-21,197.52,198.15,198.54,197.00,1100042
2019-02-20,198.14,198.02,198.46,197.12,1266899
2019-02-19,197.89,197.65,198.31,197.35,1013626
2019-02-15,197.46,198.32,198.99,196.61,1106784
2019-02-14,195.95,195.87,196.74,194.81,1032986
2019-02-13,196.00,197.18,197.80,195.33,1410853
2019-02-12,195.74,195.25,196.31,194.68,1136749
2019-02-11,193.73,194.13,195.47,192.84,1519912
2019-02-08,189.77,193.59,193.72,189.21,1845236
2019-02-07,191.00,195.00,197.03,187.31,2398522
2019-02-06,194.72,192.95,195.09,192.85,1721267
2019-02-05,194.60,194.90,195.58,193.90,1420652
2019-02-04,194.09,194.41,194.89,192.11,1502732
2019-02-01,192.10,193.83,195.16,191.16,1147280
2019-01-31,188.64,191.65,191.85,187.52,1623954
