Date,Open,Close,High,Low,Volume
2020-03-27,32.49,33.27,34.76,32.26,8639477
2020-03-26,30.83,34.28,34.67,30.54,10238447
2020-03-25,30.04,30.67,32.00,28.85,13398767
2020-03-24,26.93,30.12,30.39,26.23,10396825
2020-03-23,28.00,25.69,29.13,25.51,12832477
2020-03-20,30.31,30.04,30.69,28.00,15605695
2020-03-19,27.61,29.97,32.00,26.52,10763116
2020-03-18,27.23,28.32,29.47,26.04,11291563
2020-03-17,28.28,29.27,29.74,25.94,14132562
2020-03-16,28.47,27.37,30.32,24.01,12016840
2020-03-13,32.78,33.83,34.14,30.64,12391376
2020-03-12,30.32,30.22,33.16,28.94,12378589
2020-03-11,35.08,33.66,35.49,33.31,11488070
2020-03-10,36.23,36.34,36.87,33.93,14818147
2020-03-09,36.46,34.51,37.95,33.89,15081824
2020-03-06,41.49,40.67,42.49,39.55,13966399
2020-03-05,45.42,43.61,45.51,43.02,12104129
2020-03-04,47.24,47.38,47.60,45.86,9533194
2020-03-03,48.39,46.89,49.40,46.44,10348505
2020-03-02,48.10,48.81,48.82,45.61,8156663
2020-02-28,46.05,46.14,46.91,44.92,10747242
2020-02-27,49.79,47.55,50.23,47.54,7471655
2020-02-26,51.71,50.70,52.21,50.65,6856782
2020-02-25,53.75,51.31,53.78,51.15,7233299
2020-02-24,53.65,53.77,54.34,53.27,7350918
2020-02-21,54.83,54.85,55.10,54.24,5640328
2020-02-20,54.39,55.31,55.44,54.23,5185592
2020-02-19,54.26,54.61,54.65,54.05,3414644
2020-02-18,54.63,54.01,54.80,53.54,4265811
2020-02-14,54.80,54.94,54.97,54.39,4074171
2020-02-13,53.96,54.82,54.91,53.79,4162662
2020-02-12,55.19,54.44,55.47,54.21,4264505
2020-02-11,54.37,54.81,55.12,54.37,3769260
2020-02-10,53.84,54.33,54.42,53.84,2885002
2020-02-07,53.67,54.27,54.40,53.33,4123181
2020-02-06,54.65,54.18,54.88,53.80,4377001
2020-02-05,53.82,54.43,54.68,53.78,4895969
2020-02-04,53.40,53.16,53.91,53.09,4517119
2020-02-03,51.98,52.50,52.94,51.97,5448581
2020-01-31,51.86,51.57,51.88,51.24,7724865
2020-01-30,52.85,52.13,53.10,49.37,13251608
2020-01-29,55.09,53.86,55.25,53.65,5487490
2020-01-28,55.01,54.96,55.39,54.74,4390287
2020-01-27,54.52,54.68,54.97,54.34,5952307
2020-01-24,56.30,55.48,56.35,55.02,5520177
2020-01-23,55.99,56.36,56.39,55.24,4256439
2020-01-22,56.50,56.34,56.50,56.13,3952782
2020-01-21,56.05,56.28,56.53,55.84,6698609
2020-01-17,56.30,56.29,56.38,55.85,5789279
2020-01-16,55.19,55.86,55.87,55.19,4493814
2020-01-15,55.91,55.13,56.12,54.90,5899943
2020-01-14,56.18,56.36,56.49,55.91,5214113
2020-01-13,55.80,56.22,56.23,55.69,6121867
2020-01-10,56.38,55.96,56.50,55.73,5032565
2020-01-09,55.91,56.18,56.22,55.71,5700635
2020-01-08,55.42,55.61,55.82,55.31,6232660
2020-01-07,55.67,55.49,55.67,55.09,5272865
2020-01-06,55.49,55.73,55.80,55.15,9678754
2019-12-31,56.44,56.32,56.59,56.07,4090806
2019-12-30,56.70,56.42,56.84,56.32,3547406
2019-12-27,56.77,56.48,56.81,56.34,3232850
2019-12-26,56.28,56.72,56.74,56.19,2833558
2019-12-24,56.30,56.16,56.35,56.04,1785054
2019-12-23,56.56,56.20,56.58,56.10,4842619
2019-12-20,54.29,56.30,56.60,54.29,11611300
2019-12-19,56.38,56.14,56.52,55.85,6140168
2019-12-18,56.80,56.32,56.92,56.24,10230007
2019-12-17,56.28,56.67,56.77,56.03,6770544
2019-12-16,56.53,56.22,56.75,56.11,9003022
2019-12-13,56.11,56.02,56.66,55.64,7674364
2019-12-12,53.97,56.08,56.19,53.84,8978026
2019-12-11,55.12,53.68,55.26,53.67,7421517
2019-12-10,54.38,55.12,55.26,54.27,7020624
2019-12-09,54.96,54.72,54.96,54.26,8382003
2019-12-06,54.13,54.24,54.68,54.02,25954270
2019-12-05,53.50,53.49,53.59,53.04,6088520
2019-12-04,53.25,53.31,53.51,53.07,5437363
2019-12-03,53.70,53.21,53.70,52.77,4541849
2019-12-02,54.99,54.41,55.06,54.32,3293946
2019-11-29,54.89,54.72,55.08,54.64,1567080
2019-11-27,54.68,54.92,54.98,54.55,2400003
2019-11-26,55.08,54.43,55.09,54.16,3752557
2019-11-25,54.83,55.20,55.26,54.70,3860080
2019-11-22,54.31,54.67,55.00,54.18,2208764
2019-11-21,54.67,54.18,54.71,53.92,3551697
2019-11-20,54.40,54.41,54.64,53.96,4566679
2019-11-19,55.15,54.69,55.20,54.50,5822634
2019-11-18,54.46,55.01,55.05,54.46,3980014
2019-11-15,54.90,54.61,54.95,54.41,5438350
2019-11-14,54.18,54.60,54.68,54.00,4156993
2019-11-13,53.93,54.37,54.64,53.58,5195510
2019-11-12,54.15,54.44,54.54,54.04,4327970
2019-11-11,54.44,54.29,54.64,54.13,3845358
2019-11-08,54.61,54.94,55.02,54.32,4185342
2019-11-07,55.10,54.73,55.53,54.58,5108617
2019-11-06,55.18,55.25,55.36,54.79,5577321
2019-11-05,54.87,55.36,55.66,54.83,5884665
2019-11-04,54.44,54.61,54.82,54.38,5017276
2019-11-01,53.61,54.10,54.12,53.40,3487313
2019-10-31,53.29,53.05,53.68,52.48,4361123
2019-10-30,54.09,53.68,54.10,53.54,4063426
2019-10-29,53.79,54.24,54.41,53.70,5472150
2019-10-28,53.88,54.00,54.20,53.71,3999660
2019-10-25,52.98,53.58,53.81,52.98,2189329
