Date,Open,Close,High,Low,Volume
2020-03-27,30.02,30.28,31.29,29.08,38942842
2020-03-26,29.33,30.90,31.39,29.08,45052992
2020-03-25,29.00,28.97,30.30,27.77,53287512
2020-03-24,26.96,28.92,29.17,26.33,48630317
2020-03-23,26.26,25.25,26.87,25.11,47064127
2020-03-20,28.68,26.50,28.75,26.18,73915797
2020-03-19,27.66,28.29,29.11,26.29,53123498
2020-03-18,27.70,28.12,28.89,26.90,51904083
2020-03-17,27.63,29.63,30.62,25.89,58015928
2020-03-16,26.34,26.50,29.23,26.30,57466710
2020-03-13,30.15,30.89,31.76,27.77,78365669
2020-03-12,29.81,27.20,30.86,27.12,68447627
2020-03-11,34.05,32.33,34.27,32.01,44784160
2020-03-10,34.63,35.08,35.08,32.28,40078709
2020-03-09,33.72,32.48,34.48,32.22,53277150
2020-03-06,37.00,37.09,37.68,36.33,56766462
2020-03-05,40.00,38.90,40.01,38.57,45037864
2020-03-04,41.01,41.40,41.43,39.96,33881480
2020-03-03,42.06,40.53,42.90,40.03,45091021
2020-03-02,40.98,42.26,42.28,39.46,44231229
2020-02-28,41.31,40.85,41.87,39.75,71710072
2020-02-27,43.32,42.47,44.32,42.43,41180045
2020-02-26,45.48,44.14,45.65,44.13,27437440
2020-02-25,46.29,45.12,46.67,44.96,31110106
2020-02-24,46.58,46.39,46.95,46.26,23075930
2020-02-21,47.48,47.70,47.85,47.10,21729106
2020-02-20,47.00,47.34,47.41,46.68,15965494
2020-02-19,47.25,47.09,47.35,46.98,15602522
2020-02-18,47.97,46.99,48.12,46.53,22427844
2020-02-14,48.14,48.22,48.32,47.75,15526365
2020-02-13,47.62,48.12,48.18,47.55,12529964
2020-02-12,48.22,47.79,48.49,47.76,16668133
2020-02-11,48.08,47.99,48.34,47.94,13686081
2020-02-10,47.67,47.77,47.86,47.42,15151007
2020-02-07,47.73,47.84,48.00,47.48,13174648
2020-02-06,48.44,47.98,48.50,47.85,18259189
2020-02-05,47.90,48.31,48.40,47.78,19945931
2020-02-04,47.70,47.26,47.84,47.25,14666111
2020-02-03,47.24,47.12,47.72,47.03,15471985
2020-01-31,47.42,46.94,47.45,46.75,23080445
2020-01-30,47.17,47.91,47.95,47.04,14760210
2020-01-29,47.42,47.27,47.90,47.26,16189560
2020-01-28,47.51,47.37,47.79,47.28,16673308
2020-01-27,46.89,47.10,47.42,46.74,18156167
2020-01-24,48.19,47.57,48.21,47.18,21239603
2020-01-23,48.39,48.22,48.45,47.98,17297943
2020-01-22,49.03,48.56,49.09,48.29,20367677
2020-01-21,49.09,48.94,49.88,48.80,30858265
2020-01-17,49.37,49.18,49.42,48.53,29669233
2020-01-16,48.46,49.25,49.32,47.84,37020214
2020-01-15,48.83,48.32,48.84,47.98,47147978
2020-01-14,50.23,49.30,50.74,49.25,56678417
2020-01-13,52.50,52.11,52.50,51.83,25207426
2020-01-10,52.79,52.50,52.90,52.48,13778540
2020-01-09,53.20,52.73,53.20,52.48,20818099
2020-01-08,52.84,52.82,53.33,52.80,16587622
2020-01-07,53.05,52.66,53.05,52.47,13285117
2020-01-06,52.74,53.10,53.20,52.72,13200655
2020-01-03,53.11,53.42,53.62,52.90,15609670
2020-01-02,53.85,53.75,54.04,53.51,16806063
2019-12-31,53.53,53.80,53.82,53.46,12566101
2019-12-30,54.17,53.60,54.26,53.50,10900535
2019-12-27,54.29,53.92,54.32,53.87,9892762
2019-12-26,54.05,54.15,54.39,53.95,12517137
2019-12-24,53.95,53.82,54.04,53.74,4635459
2019-12-23,53.34,53.81,54.00,53.25,17638360
2019-12-20,54.05,53.33,54.05,53.07,66323247
2019-12-19,53.74,53.63,53.83,53.42,18133501
2019-12-18,54.46,53.67,54.46,53.63,18868265
2019-12-17,54.11,54.34,54.51,53.99,16723358
2019-12-16,54.24,54.22,54.56,54.22,19793887
2019-12-13,54.05,53.79,54.42,53.43,19179788
2019-12-12,53.37,54.36,54.55,53.10,19121951
2019-12-11,53.74,53.17,53.98,53.07,16834475
2019-12-10,53.49,53.69,53.87,53.38,15959626
2019-12-09,54.17,53.92,54.55,53.91,15107447
2019-12-06,53.86,54.37,54.41,53.69,18325935
2019-12-05,53.41,53.23,53.53,53.10,13499709
2019-12-04,52.60,53.24,53.48,52.54,18868398
2019-12-03,53.01,52.58,53.05,52.17,25760216
2019-12-02,54.31,53.62,54.44,53.55,20253309
2019-11-29,54.07,54.46,54.75,54.07,10508630
2019-11-27,54.15,54.34,54.40,54.01,16355412
2019-11-26,54.11,53.81,54.12,53.73,18081019
2019-11-25,54.53,54.21,54.53,54.04,15560980
2019-11-22,53.90,54.28,54.35,53.81,13823402
2019-11-21,53.84,53.56,53.93,53.34,16186126
2019-11-20,53.73,53.54,53.86,53.25,14994768
2019-11-19,54.10,54.03,54.33,53.87,14436526
2019-11-18,53.84,54.00,54.11,53.65,14374870
2019-11-15,53.78,53.80,53.94,53.43,15225623
2019-11-14,53.22,53.49,53.56,53.10,16498145
2019-11-13,53.81,53.29,53.90,53.21,16937719
2019-11-12,53.75,54.22,54.24,53.62,15187629
2019-11-11,53.79,54.05,54.14,53.73,10659938
2019-11-08,53.83,54.10,54.23,53.56,14722656
2019-11-07,53.78,54.00,54.40,53.78,23452471
2019-11-06,53.29,53.80,53.84,53.17,22051098
2019-11-05,52.74,53.30,53.50,52.74,25965273
2019-11-04,52.58,52.72,52.80,52.24,17559945
2019-11-01,52.13,52.18,52.29,51.91,16359347
2019-10-31,51.77,51.63,52.03,51.15,18814737
2019-10-30,51.88,52.03,52.28,51.62,16155863
2019-10-29,51.50,52.17,52.36,51.50,21063049
2019-10-28,51.94,51.65,52.05,51.57,23914846
2019-10-25,51.08,51.57,51.73,51.00,17433347
2019-10-24,50.66,51.10,51.20,50.66,17730618
2019-10-23,50.72,50.93,50.97,50.57,15154572
2019-10-22,50.44,50.62,51.02,50.23,19474216
2019-10-21,50.28,50.46,50.50,50.18,20379314
2019-10-18,49.34,49.97,50.22,49.32,21199754
2019-10-17,49.98,49.61,50.17,49.48,20588351
2019-10-16,50.04,49.59,50.28,49.45,23759914
2019-10-15,49.28,50.11,51.25,48.78,39507014
2019-10-14,49.09,49.27,49.45,48.98,17075909
2019-10-11,49.46,49.21,49.92,49.15,23092111
2019-10-10,48.33,48.65,49.07,48.16,18406978
2019-10-09,48.17,48.15,48.42,48.08,13535102
2019-10-08,48.25,47.82,48.35,47.54,19835257
2019-10-07,48.95,48.81,49.29,48.75,15738204
2019-10-04,48.66,49.21,49.25,48.53,15947794
2019-10-03,48.30,48.48,48.51,47.32,20635471
2019-10-02,48.72,48.47,49.04,48.37,24808549
2019-10-01,50.65,49.06,50.78,49.00,27403497
2019-09-30,50.77,50.44,50.85,50.06,28888394
2019-09-27,50.40,50.71,51.41,50.25,59468942
2019-09-26,49.25,48.87,49.37,48.82,20057083
2019-09-25,48.73,49.26,49.54,48.65,21405392
2019-09-24,48.98,48.65,49.22,48.47,21855450
2019-09-23,48.32,48.96,49.09,48.31,21331118
2019-09-20,49.07,48.63,49.30,48.61,30451103
2019-09-19,48.99,48.91,49.31,48.87,17052734
2019-09-18,48.63,48.93,49.21,48.43,20548852
2019-09-17,48.70,48.76,48.86,48.31,18463810
2019-09-16,48.46,48.98,49.00,48.40,17759682
2019-09-13,49.01,48.92,49.36,48.66,25142359
2019-09-12,48.52,48.65,49.08,48.22,24305937
2019-09-11,48.29,48.85,48.98,47.79,19189958
2019-09-10,48.07,48.31,48.93,48.07,25822484
