symbol,name,currency,price,price_open,day_high,day_low,52_week_high,52_week_low,day_change,change_pct,close_yesterday,market_cap,volume,volume_avg,shares,stock_exchange_long,stock_exchange_short,timezone,timezone_name,gmt_offset,last_trade_time,pe,eps
BAC,Bank of America Corporation,USD,22.04,21.65,22.35,21.27,35.72,17.95,0.44,2.04,21.60,192293928960,80323108,139202966,8724769792,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-03-30 16:02:00,8.01,2.75
BRK.B,Berkshire Hathaway Inc.,USD,183.18,180.04,184.11,178.00,231.61,159.50,3.52,1.96,179.66,444345221120,7363917,14005383,1382349952,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-03-30 16:02:00,0.00,49828.45
C,Citigroup Inc.,USD,44.08,44.05,44.26,41.58,83.11,32.00,0.28,0.64,43.80,92489105408,27147868,33415683,2098210048,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-03-30 16:02:00,5.49,8.04
JPM,JPMorgan Chase & Co.,USD,93.50,90.65,94.09,89.30,141.10,76.91,2.37,2.60,91.13,287417106432,21582551,32501400,3084000000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-03-30 16:02:00,8.72,10.72
WFC,Wells Fargo & Company,USD,29.92,30.36,30.48,28.89,54.75,25.11,-0.36,-1.19,30.28,122354851840,41153005,51229066,4089400064,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-03-30 16:02:00,7.39,4.05
AXP,American Express Company,USD,90.27,88.51,91.39,85.27,138.13,67.00,1.54,1.74,88.73,72737579008,5221244,9869300,805777984,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-03-30 16:02:00,11.30,7.99
BLK,"BlackRock, Inc.",USD,455.35,438.00,456.25,434.51,576.81,323.98,21.01,4.84,434.34,70940794880,1109987,1449816,154828000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-03-30 16:02:00,16.02,28.43
GS,"The Goldman Sachs Group, Inc.",USD,159.62,159.08,160.43,153.18,250.46,130.85,1.28,0.81,158.34,54889164800,4135950,6536233,343873984,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-03-30 16:02:00,7.59,21.03
MS,Morgan Stanley,USD,34.84,33.53,35.34,32.97,57.57,27.20,0.83,2.44,34.01,53388816384,17474730,27794983,1532400000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-03-30 16:02:00,6.71,5.19
USB,U.S. Bancorp,USD,35.87,35.00,36.10,34.01,61.11,28.59,0.52,1.47,35.35,54567596032,9607888,15508000,1521260032,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-03-30 16:02:00,8.62,4.16
CB,Chubb Limited,USD,114.04,108.64,114.71,105.63,167.74,87.35,5.63,5.19,108.41,51535589376,2678682,4048716,451972000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-03-30 16:02:00,11.74,9.71
PNC,"The PNC Financial Services Group, Inc.",USD,100.97,99.27,101.68,97.82,161.79,79.41,0.84,0.84,100.13,43288567808,2609286,3831633,428727008,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-03-30 16:02:00,8.87,11.38
SCHW,The Charles Schwab Corporation,USD,34.33,33.19,34.57,32.69,51.65,28.00,0.72,2.14,33.61,44155936768,9841397,17767516,1286220032,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-03-30 16:02:00,12.86,2.67
SPGI,S&P Global Inc.,USD,246.99,241.41,248.63,239.01,312.94,186.06,7.24,3.02,239.75,60216164352,2465668,2795633,244000000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-03-30 16:02:00,28.72,8.60
TFC,Truist Financial Corporation,USD,32.56,32.49,33.53,31.68,56.92,24.01,-0.71,-2.13,33.27,43793199104,7708654,11851916,1344999936,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-03-30 16:02:00,N/A,N/A
AON,Aon plc,USD,171.03,167.58,173.01,162.11,238.19,143.93,5.61,3.39,165.42,39561289728,1706749,2684533,231312000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-03-30 16:02:00,26.87,6.37
ICE,"Intercontinental Exchange, Inc.",USD,83.81,77.66,84.50,81.30,101.93,63.51,2.56,3.15,81.25,46023254016,4597747,5706783,549137984,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-03-30 16:02:00,24.51,3.42
MCO,Moody's Corporation,USD,222.22,222.16,226.33,218.30,287.25,164.19,2.03,0.92,220.19,41601363968,1000539,1627516,187208000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-03-30 16:02:00,29.95,7.42
MMC,"Marsh & McLennan Companies, Inc.",USD,89.55,82.74,89.90,84.99,119.88,74.33,4.10,4.80,85.45,45124067328,2682072,3776716,503897984,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-03-30 16:02:00,26.26,3.41
PGR,The Progressive Corporation,USD,76.18,74.17,76.83,73.12,84.96,62.18,2.64,3.59,73.54,44584652800,3854164,5436133,584600000,New York Stock Exchange,NYSE,EDT,America/New_York,-14400,2020-03-30 16:02:00,11.34,6.72
