Date,Open,Close,High,Low,Volume
2020-03-27,77.66,81.25,84.35,77.32,4639709
2020-03-26,75.41,79.82,80.70,75.41,4670549
2020-03-25,73.49,74.52,77.54,72.51,4553227
2020-03-24,70.30,73.66,74.15,69.89,5101623
2020-03-23,72.24,66.85,72.41,63.51,6813815
2020-03-20,73.77,72.99,74.10,68.82,8462649
2020-03-19,70.03,73.68,74.94,64.11,5503139
2020-03-18,72.72,70.08,73.58,66.04,8145253
2020-03-17,75.81,76.79,78.88,73.71,7108158
2020-03-16,75.03,74.13,79.95,72.82,5791814
2020-03-13,79.77,83.12,83.29,76.78,7338707
2020-03-12,80.43,75.61,83.04,75.46,6554257
2020-03-11,88.24,86.20,89.31,84.96,4539949
2020-03-10,90.82,90.55,91.50,86.85,5243080
2020-03-09,88.93,88.62,91.93,87.67,5790152
2020-03-06,95.13,94.04,96.58,92.18,5963960
2020-03-05,98.21,97.91,99.31,96.77,3752301
2020-03-04,95.25,100.17,100.46,94.86,5223482
2020-03-03,93.62,94.94,96.22,92.24,6139196
2020-03-02,89.94,93.40,93.40,89.53,7056107
2020-02-28,90.66,89.22,92.64,87.42,7204543
2020-02-27,93.08,91.82,95.31,91.80,5272773
2020-02-26,92.15,93.86,94.50,91.77,3923959
2020-02-25,94.03,91.97,94.51,91.57,3063646
2020-02-24,93.50,93.85,94.74,93.06,2559120
2020-02-21,95.08,94.75,95.20,94.50,2047257
2020-02-20,95.14,95.21,95.69,94.48,1880792
2020-02-19,96.72,95.42,96.95,95.41,2520305
2020-02-18,95.85,96.20,96.60,95.01,2656210
2020-02-14,94.50,96.86,96.90,94.45,5111620
2020-02-13,94.61,94.19,94.67,93.89,5791323
2020-02-12,94.70,94.39,94.99,93.93,4506128
2020-02-11,94.90,94.76,95.15,94.67,3827899
2020-02-10,92.54,94.82,94.97,92.53,5715295
2020-02-07,93.90,92.63,95.46,92.12,12776993
2020-02-06,92.75,90.11,92.83,86.83,17797698
2020-02-05,93.61,92.88,94.02,91.33,12764475
2020-02-04,100.76,92.59,101.93,91.05,11043570
2020-02-03,100.15,100.04,100.43,99.52,1920011
2020-01-31,99.86,99.74,100.43,99.39,2068071
2020-01-30,98.58,100.17,100.18,98.45,1464186
2020-01-29,99.26,98.91,99.80,98.55,1762582
2020-01-28,98.14,98.94,99.10,98.09,2034020
2020-01-27,96.31,98.18,98.39,95.64,2343553
2020-01-24,97.30,97.11,98.09,96.86,1880177
2020-01-23,96.15,97.30,97.42,96.01,2332985
2020-01-22,96.63,96.43,97.10,96.34,1930376
2020-01-21,96.69,96.76,97.45,96.60,2263597
2020-01-17,96.05,96.77,97.05,96.05,2468719
2020-01-16,96.73,96.27,96.99,95.58,2686572
2020-01-15,94.06,95.77,96.25,93.60,3015803
2020-01-14,95.05,93.77,95.12,93.51,3366071
2020-01-13,94.20,95.03,95.07,94.03,2627651
2020-01-10,94.41,94.25,94.80,94.07,1510521
2020-01-09,93.62,94.43,94.98,93.62,2268259
2020-01-08,94.66,93.60,94.90,93.48,3013701
2020-01-07,94.08,94.43,94.93,93.77,2346083
2020-01-06,94.70,94.70,95.47,94.02,2649690
2020-01-03,92.10,94.67,94.98,91.95,2544469
2020-01-02,92.84,92.67,93.07,92.18,3045306
2019-12-31,92.40,92.55,92.83,91.71,2359346
2019-12-30,93.08,92.44,93.22,92.28,2059647
2019-12-27,93.01,93.00,93.22,92.64,1226428
2019-12-26,92.46,92.87,93.05,92.21,1212753
2019-12-24,92.40,92.19,92.51,91.96,731162
2019-12-23,93.23,92.36,93.45,92.14,2695972
2019-12-20,93.84,93.03,94.12,92.72,4585614
2019-12-19,91.74,93.49,93.57,91.61,2234299
2019-12-18,92.99,91.86,92.99,91.70,3521174
2019-12-17,91.92,92.60,92.78,90.78,4126518
2019-12-16,92.43,92.27,92.53,91.81,2883269
2019-12-13,90.44,91.91,92.07,90.01,2861815
2019-12-12,92.23,90.72,92.36,90.65,6006592
2019-12-11,92.66,92.31,93.24,92.20,3048828
2019-12-10,92.90,92.33,93.04,92.11,2317323
2019-12-09,93.70,92.88,93.70,92.45,3063369
2019-12-06,94.13,93.80,94.46,93.64,2170436
2019-12-05,93.27,93.65,93.84,92.87,1544016
2019-12-04,93.36,93.32,94.12,93.09,2260418
2019-12-03,92.99,93.45,93.77,92.85,3226284
2019-12-02,94.16,93.30,94.61,92.97,2141210
2019-11-29,93.14,94.17,94.51,93.14,1259232
2019-11-27,94.31,93.43,94.47,92.84,2423496
2019-11-26,94.26,94.47,94.74,93.98,4586671
2019-11-25,93.97,94.32,94.78,93.83,2143970
2019-11-22,93.87,93.75,94.57,93.42,1958422
2019-11-21,94.60,93.89,94.87,93.57,1978403
2019-11-20,94.02,94.48,95.34,93.93,1502276
2019-11-19,92.85,93.98,94.33,92.51,2389721
2019-11-18,93.32,92.82,93.60,92.55,3077858
2019-11-15,93.45,92.96,93.50,92.55,2834291
2019-11-14,92.69,93.17,93.25,92.24,1919343
2019-11-13,91.52,92.67,92.80,91.35,1861960
2019-11-12,91.25,91.40,91.78,91.21,1548001
2019-11-11,90.62,91.18,91.44,90.02,1718080
2019-11-08,90.90,90.47,91.67,90.38,2064307
2019-11-07,91.39,90.64,91.43,90.37,2905407
2019-11-06,89.80,91.11,91.21,89.48,3407734
2019-11-05,91.02,89.41,91.31,89.09,4368048
2019-11-04,93.21,91.17,93.43,90.72,2819278
2019-11-01,94.94,92.93,95.28,92.76,2536936
2019-10-31,93.85,94.32,95.14,92.75,3281168
2019-10-30,91.46,93.18,93.25,91.36,2372439
2019-10-29,91.73,91.35,92.76,91.28,2130136
2019-10-28,92.39,91.60,92.39,91.42,2520691
2019-10-25,92.83,91.96,93.41,91.93,1407464
2019-10-24,92.82,92.91,93.94,92.82,1696614
2019-10-23,91.76,92.93,93.27,91.76,2098443
2019-10-22,93.27,91.87,94.34,91.81,2561551
2019-10-21,94.54,93.33,94.57,93.15,2497858
2019-10-18,94.43,94.40,94.81,93.93,2177528
2019-10-17,93.93,94.28,94.55,93.79,1615210
2019-10-16,93.66,93.60,93.87,92.42,2053330
2019-10-15,93.98,93.30,94.17,93.17,2190698
2019-10-14,94.11,93.50,94.63,93.16,1480544
2019-10-11,95.56,93.94,95.56,93.81,2547286
2019-10-10,93.75,94.74,95.28,93.75,2744707
2019-10-09,93.66,94.13,94.37,93.39,1830371
2019-10-08,93.96,92.94,94.29,92.93,1486337
2019-10-07,93.65,94.36,94.77,93.40,2353175
2019-10-04,91.76,94.00,94.07,91.53,1653089
2019-10-03,90.35,91.35,91.36,89.94,1841090
2019-10-02,92.00,90.43,92.20,90.22,2097688
2019-10-01,92.20,92.33,92.80,91.72,2369491
2019-09-30,92.73,92.27,92.94,91.93,2087318
2019-09-27,94.50,92.40,94.91,92.06,2556631
2019-09-26,93.63,94.17,94.23,93.00,2140784
2019-09-25,93.14,93.38,93.56,92.08,1440251
2019-09-24,92.82,92.90,93.92,92.39,1526835
2019-09-23,92.36,92.50,92.82,92.17,1293679
2019-09-20,93.86,92.33,93.90,92.06,3216084
2019-09-19,93.07,93.53,94.04,92.69,1381350
2019-09-18,94.45,93.33,94.62,92.21,1665803
2019-09-17,92.33,93.25,94.05,92.33,2463700
2019-09-16,91.00,91.88,94.22,90.66,3139561
